Window,Return,Min weight,Max weight
window 0,-0.03368,0.000103355,0.147381
window 1,0.0216662,0.00149815,0.129456
window 2,0.050586,0.00149815,0.129456
window 3,0.032924,0.000100796,0.153953
window 4,-0.0531701,0.000345041,0.140777
window 5,0.00825021,0.000182803,0.144089
window 6,0.0388363,0.000182803,0.144089
window 7,-0.00729349,0.00108052,0.136332
window 8,0.0726317,0.000559771,0.151503
window 9,0.0104404,0.000559771,0.151503
window 10,-0.00415276,0.000559771,0.151503
window 11,0.0671295,0.000324887,0.159758
window 12,0.00730149,7.3418e-05,0.159087
window 13,0.0356539,7.3418e-05,0.159087
window 14,0.0186409,7.3418e-05,0.159087
window 15,0.0361372,0.00088744,0.162047
window 16,0.015432,0.00088744,0.162047
window 17,-0.00788533,0.000194478,0.172019
window 18,-0.036526,0.000168318,0.18084
window 19,0.0118524,0.000291156,0.164842
window 20,-0.0371208,0.000291156,0.164842
window 21,0.0563889,0.000362432,0.179773
window 22,-0.00427646,0.000578255,0.162952
window 23,0.0313433,0.000439214,0.169452
window 24,0.0361999,0.000498344,0.164594
window 25,-0.00153934,0.00105546,0.152968
window 26,0.0226172,0.000501124,0.154646
window 27,0.032676,0.000323167,0.15408
window 28,-0.0290784,6.90699e-05,0.158211
window 29,0.0437551,0.000116828,0.161766
window 30,0.0151648,0.000116828,0.161766
window 31,-0.00339125,2.54022e-05,0.169152
window 32,0.0120926,0.000270832,0.172714
window 33,-0.0244586,0.000270832,0.172714
window 34,0.00149723,0.00123465,0.178922
window 35,-0.00326401,0.00127273,0.181452
window 36,0.0659344,8.31018e-06,0.179214
window 37,0.0320852,3.0145e-05,0.17108
window 38,0.0478088,3.0145e-05,0.17108
window 39,0.0106674,0.000211334,0.162817
window 40,-0.0121881,0.000211334,0.162817
window 41,-2.45287e-05,0.000279151,0.15407
window 42,0.0489246,0.00041472,0.150845
window 43,-0.0265696,0.00041472,0.150845
window 44,0.0192872,0.0014761,0.126099
window 45,0.0322934,0.0014761,0.126099
window 46,0.0147534,0.000560989,0.123712
window 47,0.00583122,1.73221e-05,0.126836
window 48,-0.0153871,0.00120816,0.131517
window 49,0.0448832,0.000783538,0.135331
window 50,0.00977699,0.000989432,0.141873
window 51,-0.00985838,0.00149613,0.153498
window 52,0.0186949,0.000175178,0.152475
window 53,0.0106283,0.000372318,0.155414
window 54,-0.02667,0.000372318,0.155414
window 55,0.0581768,0.00117777,0.142107
window 56,-0.00651702,1.43632e-05,0.148746
window 57,0.0503729,0.00112133,0.14757
window 58,0.0354751,0.000598487,0.152279
window 59,0.00609924,0.00319859,0.126249
window 60,0.00665379,0.00319859,0.126249
window 61,0.0283457,0.00319859,0.126249
window 62,0.00101793,0.00120579,0.129195
window 63,-0.0221118,0.00150017,0.124909
window 64,0.0140843,0.000769855,0.146392
window 65,-0.0132549,0.000769855,0.146392
