Window,Return,Min weight,Max weight
window 0,-0.0415702,0.000965345,0.185347
window 1,0.0299375,0.000478517,0.169939
window 2,0.0443308,0.000930917,0.167126
window 3,0.0243131,0.000280237,0.161239
window 4,-0.0582902,0.00166559,0.14757
window 5,-0.0220977,0.000229152,0.150012
window 6,0.0357034,0.00112428,0.148248
window 7,-0.0236808,0.000536961,0.138186
window 8,0.0678753,0.00147267,0.146131
window 9,0.0286425,0.000656461,0.124622
window 10,-0.00531688,0.000347163,0.129331
window 11,0.0478201,0.00138411,0.131281
window 12,0.0118991,0.000113172,0.125997
window 13,0.0403011,0.00124385,0.118669
window 14,0.0084703,0.00205044,0.114711
window 15,0.0366679,0.000600286,0.121378
window 16,0.00527366,0.000218353,0.120286
window 17,-0.00936242,0.000317851,0.124129
window 18,-0.0115247,0.000365583,0.145957
window 19,-0.00446565,3.78551e-05,0.154687
window 20,-0.0484214,0.000551948,0.118106
window 21,0.0841148,0.000623764,0.117049
window 22,-0.000665147,0.00101658,0.112995
window 23,0.00264857,0.000513788,0.115923
window 24,0.0415134,0.00129629,0.141467
window 25,0.0106905,0.000375183,0.149238
window 26,0.0277571,0.00166345,0.123137
window 27,0.02837,0.000712067,0.134348
window 28,-0.0320963,0.000408249,0.125962
window 29,0.049876,0.00132325,0.13154
window 30,0.0119834,0.00055954,0.121179
window 31,0.00370157,0.000411545,0.119978
window 32,0.0049913,0.00131474,0.116417
window 33,-0.0079583,0.00118081,0.107303
window 34,0.0129722,9.90931e-05,0.121728
window 35,-0.002995,0.0026048,0.13407
window 36,0.0672197,0.000817291,0.106719
window 37,0.033881,5.21584e-05,0.0973548
window 38,0.0479954,1.00841e-05,0.0955863
window 39,0.0227857,0.000235019,0.0896064
window 40,-0.00320499,0.000544645,0.0980495
window 41,-0.0128482,0.00151142,0.098375
window 42,0.0570016,0.000400755,0.0930805
window 43,-0.0228012,0.000400755,0.0930805
window 44,0.0166914,0.000153029,0.104212
window 45,0.0480814,0.000470341,0.105496
window 46,0.0202584,0.00125882,0.124393
window 47,0.00526081,0.000553707,0.106747
window 48,0.00235856,0.00099591,0.112974
window 49,0.0459134,0.000137518,0.104876
window 50,-0.00330975,0.000403105,0.118287
window 51,-0.00250889,0.000752197,0.109702
window 52,0.010153,0.000322991,0.12967
window 53,0.0188294,1.61989e-05,0.104227
window 54,-0.0296689,5.51731e-05,0.109616
window 55,0.0569891,0.0026132,0.108016
window 56,-0.00908251,0.00119195,0.111551
window 57,0.0391957,5.08121e-05,0.097663
window 58,0.0298434,0.000756628,0.0982695
window 59,0.0070299,0.00079526,0.105015
window 60,0.0249697,0.00152561,0.0995275
window 61,0.027937,8.14494e-05,0.109714
window 62,0.0039902,0.000557392,0.093841
window 63,-0.0137175,0.000211037,0.114049
window 64,0.021672,0.000738979,0.108109
window 65,-0.00956288,0.00149477,0.102657
