Window,Return,Min weight,Max weight
window 0,0.0667449,1.85391e-05,0.2342
window 1,0.0401275,4.975e-05,0.225077
window 2,0.0320691,7.58876e-05,0.198982
window 3,0.0238418,7.58876e-05,0.198982
window 4,0.00115956,7.58876e-05,0.198982
window 5,0.0362324,0.000834969,0.204501
window 6,0.0147005,0.000834969,0.204501
window 7,0.0301413,6.43873e-05,0.202593
window 8,-0.0037152,0.00156855,0.212841
window 9,0.00716544,0.000397958,0.25016
window 10,0.0187552,9.79412e-06,0.238971
window 11,0.00852466,0.000447343,0.216979
window 12,0.0521729,0.000524475,0.198877
window 13,-0.0654951,0.000272917,0.186355
window 14,-0.0670084,7.46496e-05,0.187385
window 15,0.091223,0.00106185,0.1951
window 16,0.0757376,0.00106185,0.1951
window 17,-0.00946196,0.000718616,0.173377
window 18,0.0907269,0.00188515,0.189998
window 19,0.0432069,0.00147285,0.160538
window 20,-0.00968916,0.00147285,0.160538
window 21,-0.0178035,0.000490817,0.163471
window 22,0.0803117,0.00170951,0.180759
window 23,0.0317339,0.00170951,0.180759
window 24,-0.0173621,0.00136832,0.187736
window 25,-0.0255544,0.000519039,0.207536
window 26,0.0425407,0.00099626,0.179961
window 27,0.0368435,0.00276235,0.195324
window 28,0.0153459,0.00100961,0.189939
window 29,0.00961614,0.000674637,0.192108
window 30,0.0514757,0.000674637,0.192108
window 31,0.0247663,0.000674637,0.192108
window 32,-0.0539854,7.64794e-06,0.209165
window 33,0.0531423,0.00066394,0.170043
window 34,-0.0218552,0.00022682,0.165979
window 35,0.0916121,0.0017053,0.156979
window 36,-0.0686737,0.000324849,0.153163
window 37,-0.0204713,0.000321633,0.124521
window 38,0.0744528,0.000147405,0.116599
window 39,-0.0305869,0.00204588,0.12568
window 40,0.00234491,0.00108374,0.0892038
window 41,-0.0587052,0.000712777,0.101334
window 42,0.0520878,0.000317391,0.110624
window 43,-0.0341624,0.000330485,0.113562
window 44,-0.071347,0.000838534,0.0995363
window 45,0.101028,0.00216865,0.105726
window 46,0.0326699,0.00216865,0.105726
window 47,-0.0565453,0.000217229,0.091202
window 48,0.013803,0.000894146,0.0931503
window 49,-0.0162955,0.00114962,0.103316
window 50,0.0352983,0.000404664,0.087295
window 51,0.0179929,0.000404664,0.087295
window 52,-0.0363657,0.000404664,0.087295
window 53,0.027322,0.000767322,0.0950946
window 54,0.03267,0.000590387,0.0964561
window 55,-0.0159779,0.000399504,0.0862689
window 56,-0.0390233,0.000431873,0.0942915
window 57,-0.029311,0.00176883,0.0898568
window 58,0.0501443,0.00102582,0.0978931
window 59,0.0358893,0.00102582,0.0978931
window 60,0.0154006,0.00102582,0.0978931
window 61,0.0472083,0.00102582,0.0978931
window 62,0.035291,0.00102582,0.0978931
