Window,Return,Min weight,Max weight
window 0,-0.0205457,0.00121079,0.157578
window 1,0.0256389,0.00121079,0.157578
window 2,0.0428536,0.00121079,0.157578
window 3,0.0253797,0.00121079,0.157578
window 4,-0.0305932,0.000899117,0.165744
window 5,0.0225895,0.000596803,0.159837
window 6,0.0223504,0.000596803,0.159837
window 7,0.00275194,0.00141701,0.173061
window 8,0.077961,0.00141701,0.173061
window 9,0.00848117,0.00141701,0.173061
window 10,0.00460885,0.00141701,0.173061
window 11,0.0671107,0.00141701,0.173061
window 12,0.00614642,0.00141701,0.173061
window 13,0.0330932,0.00141701,0.173061
window 14,0.0299661,0.00141701,0.173061
window 15,0.0242205,0.00141701,0.173061
window 16,0.0167438,0.00141701,0.173061
window 17,-0.00763565,0.00141701,0.173061
window 18,-0.0418725,0.00141701,0.173061
window 19,0.0101153,0.00336218,0.161479
window 20,-0.0207839,0.00336218,0.161479
window 21,0.0584157,0.00336218,0.161479
window 22,-0.0179179,0.00336218,0.161479
window 23,0.0258412,0.00336218,0.161479
window 24,0.0439116,0.00336218,0.161479
window 25,-0.00424204,0.00336218,0.161479
window 26,0.0161236,0.00336218,0.161479
window 27,0.0471942,0.00336218,0.161479
window 28,-0.011933,0.00336218,0.161479
window 29,0.0604423,0.00336218,0.161479
window 30,0.0179829,0.00336218,0.161479
window 31,-0.0130307,0.00201312,0.158322
window 32,0.0231179,0.00201312,0.158322
window 33,-0.0353828,0.00201312,0.158322
window 34,0.00494861,0.00600122,0.153827
window 35,-0.0121687,0.00600122,0.153827
window 36,0.042754,0.00600122,0.153827
window 37,0.0247398,0.00600122,0.153827
window 38,0.0366804,0.00600122,0.153827
window 39,-0.019848,0.00600122,0.153827
window 40,-0.0139562,0.00600122,0.153827
window 41,0.00934731,0.00600122,0.153827
window 42,0.0450336,0.00600122,0.153827
window 43,-0.0351882,0.00600122,0.153827
window 44,0.00799801,0.00148819,0.156668
window 45,0.0261273,0.00148819,0.156668
window 46,0.0151493,0.00247453,0.156502
window 47,0.00471379,0.00247453,0.156502
window 48,-0.0104096,0.00247453,0.156502
window 49,0.0416697,0.00247453,0.156502
window 50,0.0183617,0.00478188,0.171986
window 51,0.0220438,0.00478188,0.171986
window 52,-0.00702324,0.00478188,0.171986
window 53,0.0240345,0.00478188,0.171986
window 54,-0.0246783,0.00478188,0.171986
window 55,0.0498904,0.00478188,0.171986
window 56,-0.00572703,0.00478188,0.171986
window 57,0.0574896,0.00128415,0.171797
window 58,0.0391538,0.00128415,0.171797
window 59,0.0103819,0.00128415,0.171797
window 60,0.00816055,0.00128415,0.171797
window 61,-0.00190521,0.00128415,0.171797
window 62,0.00159849,0.00128415,0.171797
window 63,-0.00933272,0.00128415,0.171797
window 64,0.00534199,0.00128415,0.171797
window 65,-0.0234126,0.00128415,0.171797
Average,0.012743513,0.002852163,0.164134318
