Window,Return,Min weight,Max weight
window 0,0.0497995,0.00263322,0.141596
window 1,0.046973,0.00263322,0.141596
window 2,0.0560777,0.00141372,0.130778
window 3,0.0240923,0.00141372,0.130778
window 4,-0.0255442,0.00141372,0.130778
window 5,0.0555644,0.00141372,0.130778
window 6,0.0105267,0.00141372,0.130778
window 7,0.0189478,0.00141372,0.130778
window 8,0.0173103,0.00141372,0.130778
window 9,0.0210251,0.00140956,0.158535
window 10,-0.000778389,0.00140956,0.158535
window 11,0.0206781,0.000862881,0.254193
window 12,0.0215821,0.000264603,0.180233
window 13,-0.0770021,0.000486146,0.188223
window 14,-0.108896,2.46444e-06,0.27098
window 15,0.12761,0.00146652,0.167341
window 16,0.0818865,0.00146652,0.167341
window 17,0.0212021,0.00146652,0.167341
window 18,0.0742522,0.00146652,0.167341
window 19,0.0366841,0.00117164,0.163574
window 20,-0.00472485,0.00117164,0.163574
window 21,-0.0287925,0.00117164,0.163574
window 22,0.0666031,0.00117164,0.163574
window 23,0.0136662,0.00117164,0.163574
window 24,-0.0269885,0.00117164,0.163574
window 25,-0.0307701,0.00117164,0.163574
window 26,0.0650509,0.00292692,0.167827
window 27,0.0289713,0.00292692,0.167827
window 28,-0.00808796,0.00292692,0.167827
window 29,0.0251866,0.00292692,0.167827
window 30,0.0363903,0.00292692,0.167827
window 31,0.00123413,0.00292692,0.167827
window 32,-0.0142214,0.00292692,0.167827
window 33,0.0457327,0.00292692,0.167827
window 34,0.00718118,0.00292692,0.167827
window 35,0.0952196,0.00292692,0.167827
window 36,-0.0896603,0.00292692,0.167827
window 37,-0.0161959,3.2237e-05,0.185449
window 38,0.0908765,3.2237e-05,0.185449
window 39,-0.0114832,3.2237e-05,0.185449
window 40,0.0110735,0.00182945,0.127139
window 41,-0.0429727,0.00341104,0.133495
window 42,0.0424217,0.000188794,0.170218
window 43,-0.0207929,0.00175273,0.158735
window 44,-0.0817627,0.00198412,0.153261
window 45,0.0921749,0.00689122,0.221637
window 46,0.0506359,0.00689122,0.221637
window 47,-0.0441103,0.00689122,0.221637
window 48,-0.00313657,0.000796111,0.210997
window 49,-0.00623467,0.000796111,0.210997
window 50,0.0496939,0.00250056,0.251354
window 51,0.00880702,0.00250056,0.251354
window 52,-0.00892097,0.00250056,0.251354
window 53,0.00551374,0.00250056,0.251354
window 54,-0.0002252,0.00250056,0.251354
window 55,-0.049121,0.00250056,0.251354
window 56,-0.0660994,0.000469308,0.177973
window 57,-0.0182905,0.00201336,0.212882
window 58,0.0296041,0.00201336,0.212882
window 59,0.064176,0.00201336,0.212882
window 60,0.0246314,0.00201336,0.212882
window 61,0.0411104,0.00201336,0.212882
window 62,0.0440905,0.00201336,0.212882
