Window,Return,Min weight,Max weight
window 0,0.0586949,0.000467306,0.166436
window 1,0.038497,0.000467306,0.166436
window 2,0.0482519,0.00107526,0.132296
window 3,0.0245084,0.00107526,0.132296
window 4,0.00317076,0.00107526,0.132296
window 5,0.0477861,0.00107526,0.132296
window 6,0.010894,0.00107526,0.132296
window 7,0.0428125,0.00107526,0.132296
window 8,0.00614011,0.00107526,0.132296
window 9,0.022603,0.000266572,0.133693
window 10,0.0121845,0.000266572,0.133693
window 11,0.0128608,0.00154172,0.302471
window 12,0.0355787,0.000663513,0.253367
window 13,-0.0691894,6.94387e-05,0.233236
window 14,-0.0900047,0.000357122,0.245113
window 15,0.121799,0.00198461,0.274004
window 16,0.0787872,0.00198461,0.274004
window 17,0.0101092,0.00198461,0.274004
window 18,0.0802278,0.00198461,0.274004
window 19,0.0122872,0.00198461,0.274004
window 20,-0.0107127,0.00198461,0.274004
window 21,-0.0146098,0.00198461,0.274004
window 22,0.0633645,0.00198461,0.274004
window 23,0.0172637,0.00198461,0.274004
window 24,-0.0233902,0.00198461,0.274004
window 25,-0.0652012,0.00163825,0.281439
window 26,0.0422923,0.000177267,0.145816
window 27,0.0354625,0.000177267,0.145816
window 28,0.00360222,0.000177267,0.145816
window 29,0.0177016,0.000177267,0.145816
window 30,0.0296527,0.000177267,0.145816
window 31,0.00642856,0.000177267,0.145816
window 32,-0.0225038,0.000177267,0.145816
window 33,0.0336833,0.00192373,0.145244
window 34,-0.00255777,0.00192373,0.145244
window 35,0.0901977,0.00192373,0.145244
window 36,-0.0907748,0.00192373,0.145244
window 37,-0.0189705,0.000274422,0.120315
window 38,0.0968021,0.00020581,0.116467
window 39,-0.0167661,0.000753971,0.139818
window 40,0.0185485,0.00476238,0.142089
window 41,-0.0369879,0.0015656,0.119827
window 42,0.051022,0.000150806,0.144193
window 43,-0.0188004,0.000150806,0.144193
window 44,-0.0763537,0.000226519,0.126157
window 45,0.107645,0.00276481,0.158261
window 46,0.0440774,0.00276481,0.158261
window 47,-0.0450117,0.00276481,0.158261
window 48,0.00421726,0.00485244,0.210702
window 49,-0.0130972,0.00485244,0.210702
window 50,0.0397209,0.00290351,0.226857
window 51,0.0178874,0.00290351,0.226857
window 52,-0.0202816,0.00290351,0.226857
window 53,0.0119054,0.00290351,0.226857
window 54,0.00392865,0.00290351,0.226857
window 55,-0.0359563,0.00290351,0.226857
window 56,-0.0436171,0.000123062,0.212799
window 57,0.00140912,0.00320997,0.224371
window 58,0.0368742,0.00320997,0.224371
window 59,0.0551908,0.00320997,0.224371
window 60,0.00205021,0.00320997,0.224371
window 61,0.0263658,0.00320997,0.224371
window 62,0.0488342,0.00320997,0.224371
