Window,Return,Min weight,Max weight
window 0,-0.0270568,0.000490142,0.151422
window 1,0.0194025,0.000859047,0.157026
window 2,0.044771,0.000859047,0.157026
window 3,0.0338382,0.000859047,0.157026
window 4,-0.0454363,0.000255192,0.164002
window 5,0.0140595,0.00107117,0.180766
window 6,0.0238658,0.00107117,0.180766
window 7,0.00324566,0.000416295,0.169305
window 8,0.0826055,0.000498837,0.168538
window 9,0.012693,0.000498837,0.168538
window 10,0.00245447,0.000498837,0.168538
window 11,0.0794999,0.000498837,0.168538
window 12,0.0204556,0.000498837,0.168538
window 13,0.0446466,0.000498837,0.168538
window 14,0.0146512,0.000498837,0.168538
window 15,0.0321197,0.000498837,0.168538
window 16,0.00956445,0.000498837,0.168538
window 17,-0.010284,0.000498837,0.168538
window 18,-0.0447234,0.000498837,0.168538
window 19,0.0181913,0.000184501,0.131533
window 20,-0.015146,0.000184501,0.131533
window 21,0.0439187,0.000184501,0.131533
window 22,-0.00270382,0.000184501,0.131533
window 23,0.02095,0.000184501,0.131533
window 24,0.0351504,0.000184501,0.131533
window 25,-0.00815142,0.000184501,0.131533
window 26,0.00943065,0.000177314,0.133722
window 27,0.0361253,0.000177314,0.133722
window 28,-0.0190725,0.000177314,0.133722
window 29,0.0516583,0.000177314,0.133722
window 30,0.00848558,0.000706554,0.14034
window 31,0.00342189,0.000706554,0.14034
window 32,0.0246151,0.000706554,0.14034
window 33,-0.0250888,0.000706554,0.14034
window 34,-0.00695624,7.21669e-06,0.139365
window 35,-0.00144858,7.21669e-06,0.139365
window 36,0.0597225,7.21669e-06,0.139365
window 37,0.0229884,7.21669e-06,0.139365
window 38,0.0416517,7.21669e-06,0.139365
window 39,-0.0149742,0.000502398,0.150144
window 40,-0.0096727,0.000502398,0.150144
window 41,-0.00125287,0.000502398,0.150144
window 42,0.0487522,0.00147022,0.167054
window 43,-0.0366339,0.00147022,0.167054
window 44,0.0131072,2.38371e-05,0.185457
window 45,0.0230101,2.38371e-05,0.185457
window 46,0.00947548,2.38371e-05,0.185457
window 47,0.00505568,2.38371e-05,0.185457
window 48,-0.0168774,2.38371e-05,0.185457
window 49,0.0478486,9.34209e-05,0.185473
window 50,0.0170068,0.00415383,0.213795
window 51,0.00053091,0.00415383,0.213795
window 52,0.00853201,0.00415383,0.213795
window 53,0.0109291,0.00415383,0.213795
window 54,-0.0247198,0.00415383,0.213795
window 55,0.0540677,0.00113764,0.224808
window 56,-0.0184876,0.00113764,0.224808
window 57,0.0513509,0.000735441,0.16683
window 58,0.03189,0.000735441,0.16683
window 59,0.00638737,0.000735441,0.16683
window 60,0.00617731,0.000735441,0.16683
window 61,0.0179915,0.000735441,0.16683
window 62,0.00772316,0.000735441,0.16683
window 63,-0.020255,0.000735441,0.16683
window 64,0.00736861,0.000780855,0.174278
window 65,-0.0100261,0.000780855,0.174278
