Window,Return,Min weight,Max weight
window 0,-0.0207308,0.00645268,0.145782
window 1,0.0249256,0.00645268,0.145782
window 2,0.0277396,0.00645268,0.145782
window 3,0.031934,0.00645268,0.145782
window 4,-0.0319539,0.000150213,0.15886
window 5,0.0250288,0.000261989,0.161298
window 6,0.0300471,0.000261989,0.161298
window 7,0.0104634,7.40E-05,0.146524
window 8,0.0701381,7.40E-05,0.146524
window 9,0.0169974,7.40E-05,0.146524
window 10,-0.00229747,7.40E-05,0.146524
window 11,0.0633584,7.40E-05,0.146524
window 12,0.00888865,7.40E-05,0.146524
window 13,0.0344566,7.40E-05,0.146524
window 14,0.0194954,7.40E-05,0.146524
window 15,0.0334976,7.40E-05,0.146524
window 16,0.0152096,7.40E-05,0.146524
window 17,-0.0117747,7.40E-05,0.146524
window 18,-0.0398913,7.40E-05,0.146524
window 19,0.0164313,0.00224456,0.165917
window 20,-0.0147247,0.00224456,0.165917
window 21,0.0477394,0.00224456,0.165917
window 22,-0.00299332,0.00224456,0.165917
window 23,0.02689,0.00224456,0.165917
window 24,0.0387996,0.00224456,0.165917
window 25,-0.0095642,0.00224456,0.165917
window 26,0.015133,0.00224456,0.165917
window 27,0.0327165,0.00224456,0.165917
window 28,-0.0144043,0.00224456,0.165917
window 29,0.0466469,0.00224456,0.165917
window 30,0.00954874,0.000917973,0.172362
window 31,-0.00140617,0.000917973,0.172362
window 32,0.0245897,0.000917973,0.172362
window 33,-0.025414,0.000917973,0.172362
window 34,-0.00414386,0.000917973,0.172362
window 35,-0.00459386,0.000917973,0.172362
window 36,0.0476957,0.000917973,0.172362
window 37,0.02115,0.000917973,0.172362
window 38,0.033693,0.000917973,0.172362
window 39,-0.0205585,0.000917973,0.172362
window 40,-0.00927009,0.000917973,0.172362
window 41,0.00272035,0.000917973,0.172362
window 42,0.0460928,0.000919618,0.17479
window 43,-0.0301048,0.000919618,0.17479
window 44,0.00947673,0.000793605,0.163674
window 45,0.0221326,0.000793605,0.163674
window 46,0.0115218,0.000793605,0.163674
window 47,0.00572148,0.000793605,0.163674
window 48,-0.0234545,0.000793605,0.163674
window 49,0.0496526,0.000336642,0.164019
window 50,0.0202065,0.00303002,0.197971
window 51,0.00561184,0.00303002,0.197971
window 52,0.00778489,0.00303002,0.197971
window 53,0.0120123,0.00303002,0.197971
window 54,-0.0174293,0.00303002,0.197971
window 55,0.0594833,0.00303002,0.197971
window 56,-0.0225981,0.00303002,0.197971
window 57,0.0508002,0.00603219,0.185739
window 58,0.02963,0.00603219,0.185739
window 59,0.013005,0.00603219,0.185739
window 60,0.0153447,0.00603219,0.185739
window 61,0.00904275,0.00603219,0.185739
window 62,0.00678217,0.00603219,0.185739
window 63,-0.0101195,0.00603219,0.185739
window 64,0.0120711,0.00603219,0.185739
window 65,-0.0113617,0.00603219,0.185739
Average,0.012629063,0.002192757,0.168268485
