Window,Return,Min weight,Max weight
window 0,0.0817477,9.52337e-05,0.127387
window 1,0.0312556,0.00347508,0.093508
window 2,0.0215498,6.91797e-05,0.0786255
window 3,0.0290361,0.000436003,0.113756
window 4,-0.0289847,0.0010492,0.0803012
window 5,0.0584856,0.000499968,0.0804282
window 6,0.0220746,0.000137417,0.0883569
window 7,0.0113914,0.000422072,0.10042
window 8,-0.0176921,0.000315689,0.0967529
window 9,0.0354819,4.85818e-05,0.109719
window 10,0.0404333,0.00124459,0.0996787
window 11,0.00716647,0.000178916,0.0907887
window 12,0.0482196,1.51319e-06,0.123127
window 13,-0.0586491,0.000861145,0.119396
window 14,-0.104208,0.000139434,0.126411
window 15,0.114416,0.000259494,0.10118
window 16,0.0720989,0.000962088,0.0772796
window 17,-0.0119068,0.000384659,0.0779491
window 18,0.0953215,0.000169928,0.111036
window 19,0.0678588,0.00113616,0.134004
window 20,-0.0316784,0.00120929,0.142555
window 21,-0.0117415,0.00125269,0.121466
window 22,0.0816727,7.39274e-05,0.104019
window 23,0.0406422,0.00070483,0.123767
window 24,-0.0218843,0.00211226,0.0826032
window 25,-0.00588674,0.000833539,0.134521
window 26,0.0245991,3.6067e-05,0.118003
window 27,0.0405909,5.08786e-05,0.089952
window 28,-0.0161878,0.000399508,0.094075
window 29,0.022004,0.000333971,0.0909282
window 30,0.0393519,5.55177e-06,0.106208
window 31,0.0254688,8.39414e-05,0.110988
window 32,-0.024651,0.000147533,0.103995
window 33,0.0702227,0.000555486,0.105846
window 34,-0.0190694,0.00128013,0.108273
window 35,0.0571613,0.000353462,0.124467
window 36,-0.115575,0.000268514,0.10923
window 37,-0.0109898,0.00642317,0.107665
window 38,0.0268259,0.00190013,0.108528
window 39,-0.0805141,0.0013489,0.0909969
window 40,0.0134479,0.00178649,0.110903
window 41,-0.0613139,0.000521901,0.100716
window 42,0.131886,0.00026785,0.113689
window 43,-0.0490256,0.00351442,0.128851
window 44,-0.0618909,0.000279693,0.110458
window 45,0.0949463,0.000890538,0.12044
window 46,0.0279076,0.000890538,0.12044
window 47,-0.0781231,0.000556822,0.120574
window 48,0.030295,0.000619343,0.112765
window 49,-0.0216017,0.00211887,0.106512
window 50,0.0530589,0.00047249,0.114464
window 51,0.0152443,0.00047249,0.114464
window 52,-0.0200429,0.00122162,0.117555
window 53,0.0630137,0.000698097,0.114339
window 54,0.00998451,0.000183411,0.112176
window 55,-0.0237841,0.000620007,0.111516
window 56,-0.0588678,0.00319973,0.132075
window 57,-0.0320756,0.000200866,0.141131
window 58,0.0853736,0.0010702,0.126536
window 59,0.0538574,0.000367411,0.132549
window 60,0.0178119,0.00451397,0.120004
window 61,0.0657186,0.000493302,0.127517
window 62,0.0335103,0.000831964,0.126046
