Window,Return,Min weight,Max weight
window 0,-0.0261792,5.12E-05,0.163965
window 1,0.0281746,0.00113522,0.166206
window 2,0.0285196,0.00113522,0.166206
window 3,0.0306113,0.00113522,0.166206
window 4,-0.0374845,0.000590254,0.160916
window 5,0.0191865,0.00107816,0.146533
window 6,0.0309579,0.00107816,0.146533
window 7,0.00869924,0.000557884,0.1522
window 8,0.0744913,0.000557884,0.1522
window 9,0.0180155,0.000557884,0.1522
window 10,0.000612679,0.000557884,0.1522
window 11,0.0682427,0.000557884,0.1522
window 12,0.00863012,0.000557884,0.1522
window 13,0.0385847,0.000557884,0.1522
window 14,0.016068,0.000557884,0.1522
window 15,0.0323785,0.000557884,0.1522
window 16,0.0122901,0.000557884,0.1522
window 17,-0.0129313,0.000557884,0.1522
window 18,-0.0384745,0.000557884,0.1522
window 19,0.0195369,0.000258055,0.16516
window 20,-0.0126948,0.000775676,0.153143
window 21,0.0470564,0.000775676,0.153143
window 22,0.00204529,0.000775676,0.153143
window 23,0.0238137,0.000775676,0.153143
window 24,0.030118,0.000775676,0.153143
window 25,-0.00765567,0.000775676,0.153143
window 26,0.0118102,0.000775676,0.153143
window 27,0.0293604,0.000775676,0.153143
window 28,-0.0142692,0.000775676,0.153143
window 29,0.0468612,0.000775676,0.153143
window 30,0.00739339,0.00383633,0.163693
window 31,-0.000437893,0.00383633,0.163693
window 32,0.0268137,0.00383633,0.163693
window 33,-0.0160398,0.00383633,0.163693
window 34,-0.0120276,0.00383633,0.163693
window 35,-0.00330674,0.00383633,0.163693
window 36,0.0557649,0.00383633,0.163693
window 37,0.0220651,0.00352543,0.156615
window 38,0.036644,0.00352543,0.156615
window 39,-0.0131786,0.00375648,0.15147
window 40,-0.00632222,0.00375648,0.15147
window 41,0.000773315,0.00375648,0.15147
window 42,0.0448037,0.00416148,0.1765
window 43,-0.0351714,0.00416148,0.1765
window 44,0.0108294,0.000486731,0.171529
window 45,0.0210794,0.000486731,0.171529
window 46,0.0125855,0.000486731,0.171529
window 47,0.00446465,0.000486731,0.171529
window 48,-0.020965,0.000486731,0.171529
window 49,0.0488702,0.000486731,0.171529
window 50,0.0176775,0.00439746,0.193181
window 51,0.00746531,0.00439746,0.193181
window 52,0.00693291,0.00439746,0.193181
window 53,0.013627,0.00439746,0.193181
window 54,-0.0197977,0.00439746,0.193181
window 55,0.0583889,0.00439746,0.193181
window 56,-0.021749,0.00439746,0.193181
window 57,0.0529005,0.000991635,0.171276
window 58,0.0319188,0.000991635,0.171276
window 59,0.0161559,0.000991631,0.171276
window 60,0.0253321,0.000991631,0.171276
window 61,0.0113599,0.000991631,0.171276
window 62,0.00450335,0.000991631,0.171276
window 63,-0.0160958,0.000991631,0.171276
window 64,0.0145388,0.000991635,0.171276
window 65,-0.0128121,0.000991635,0.171276
Average,0.012899394,0.001773299,0.164075318
