Window,Return,Min weight,Max weight
window 0,0.0589663,0.0029467,0.119044
window 1,0.0374003,0.000521644,0.127272
window 2,0.0310093,0.000383581,0.112635
window 3,0.0189458,0.000383581,0.112635
window 4,-0.00943695,0.000383581,0.112635
window 5,0.0390092,7.53673e-05,0.135023
window 6,0.00449596,0.00259901,0.142023
window 7,0.0340831,0.00187092,0.150159
window 8,-0.00796637,0.00281151,0.145167
window 9,0.0331675,0.000429541,0.134143
window 10,0.0302991,0.000715804,0.14331
window 11,0.0175015,0.000392422,0.117048
window 12,0.0480028,0.00345944,0.124884
window 13,-0.0693568,0.000277016,0.118701
window 14,-0.0879903,0.000380852,0.0859309
window 15,0.101935,0.000780668,0.108974
window 16,0.066358,0.000491143,0.114614
window 17,-0.0069756,0.00256025,0.11607
window 18,0.0989972,2.65549e-06,0.133738
window 19,0.0541095,0.000218244,0.125805
window 20,-0.0144536,0.00332764,0.140508
window 21,-0.00471724,0.00109267,0.151532
window 22,0.061381,0.00301306,0.160528
window 23,0.0273487,2.90156e-05,0.160236
window 24,-0.0129719,0.000356108,0.139768
window 25,-0.0216621,0.000519958,0.15687
window 26,0.0490348,0.000100595,0.145687
window 27,0.0347326,0.000107127,0.1472
window 28,-0.00421232,0.000107127,0.1472
window 29,0.0117473,0.00184595,0.161094
window 30,0.0367658,0.000146363,0.169757
window 31,0.0222722,0.000146363,0.169757
window 32,-0.0310129,0.000529502,0.162806
window 33,0.0495174,0.00047038,0.158699
window 34,-0.0296954,0.000295603,0.160005
window 35,0.0864164,6.76685e-05,0.15164
window 36,-0.0688676,0.000494733,0.157073
window 37,-0.0123693,0.000431702,0.132523
window 38,0.0645365,0.000115885,0.136156
window 39,-0.0462189,0.000675526,0.147248
window 40,0.0273463,0.00064958,0.0993189
window 41,-0.0595761,0.000699388,0.0827838
window 42,0.0891329,0.000133953,0.10355
window 43,-0.0358181,0.00101101,0.0893726
window 44,-0.0679015,0.000165314,0.119741
window 45,0.102779,8.90111e-05,0.118135
window 46,0.0291948,8.90111e-05,0.118135
window 47,-0.0570835,0.000503516,0.114566
window 48,0.0268642,0.000886211,0.10642
window 49,-0.0140825,0.000966981,0.101856
window 50,0.047846,0.000750611,0.104947
window 51,0.012864,0.000750611,0.104947
window 52,-0.044676,3.09909e-05,0.107267
window 53,0.0430062,0.00166591,0.112679
window 54,0.0188798,0.000393323,0.121163
window 55,-0.0325572,0.00101118,0.110654
window 56,-0.0368287,0.00147441,0.0800883
window 57,-0.0233677,0.000945834,0.0956544
window 58,0.0532289,0.000551388,0.102146
window 59,0.0437984,0.000551388,0.102146
window 60,0.00696652,0.000551388,0.102146
window 61,0.053005,0.00025263,0.0989545
window 62,0.0331902,0.000137518,0.100872
