Window,Return,Min weight,Max weight
window 0,0.128998,0.0020749,0.181509
window 1,0.0551694,0.000418162,0.191333
window 2,-0.00822607,0.000975817,0.209021
window 3,0.0528996,0.0023968,0.181872
window 4,-0.0467508,0.00501256,0.237042
window 5,0.0502497,0.00464555,0.274912
window 6,0.00320284,0.00119368,0.202192
window 7,-0.0440581,0.000680689,0.244734
window 8,-0.0196217,0.00257589,0.249055
window 9,0.00825233,0.0118068,0.256521
window 10,0.0927233,0.000464797,0.22128
window 11,0.0103677,1.03173e-05,0.222312
window 12,0.0546121,0.00290653,0.251321
window 13,-0.0581302,0.000527833,0.226372
window 14,-0.188339,0.00628452,0.211332
window 15,0.108049,0.00198843,0.234447
window 16,0.105284,0.00947697,0.25217
window 17,0.0235619,0.00453539,0.252341
window 18,0.074288,0.00946835,0.252988
window 19,0.119872,0.00551256,0.204593
window 20,-0.0536877,0.00550871,0.199919
window 21,-0.00847182,0.00519954,0.225372
window 22,0.125624,0.00278303,0.221128
window 23,0.0848153,0.0046941,0.213498
window 24,0.00978802,0.00246933,0.200311
window 25,-0.00191146,0.00518867,0.215852
window 26,-0.0197115,0.00819097,0.227508
window 27,0.0440918,0.0107349,0.230762
window 28,-0.0382551,0.00791727,0.229731
window 29,0.0426977,0.0108746,0.260816
window 30,0.0427594,0.00693797,0.238777
window 31,0.0444139,0.00550317,0.213969
window 32,-0.0342437,0.00477349,0.202175
window 33,0.0904514,0.00464948,0.200688
window 34,0.00268507,0.0039313,0.224909
window 35,0.0269062,0.00462586,0.235728
window 36,-0.133787,0.00691552,0.244181
window 37,-0.0366551,0.00323455,0.266357
window 38,0.00529042,0.00841943,0.221981
window 39,-0.127747,0.0154205,0.286427
window 40,-0.0435379,0.00193548,0.271468
window 41,-0.0523496,0.00153249,0.29235
window 42,0.186677,0.00721548,0.298325
window 43,-0.0539964,0.00644041,0.298564
window 44,-0.066266,0.00210421,0.284744
window 45,0.0834095,0.0112987,0.279642
window 46,0.049167,0.00690218,0.22731
window 47,-0.0897264,0.00590166,0.224436
window 48,0.0955907,0.00153087,0.245876
window 49,0.0148245,0.00237988,0.248847
window 50,0.0818541,0.00598711,0.268416
window 51,-0.00497335,0.00208715,0.324294
window 52,0.035311,0.00186309,0.327278
window 53,0.059526,0.00358667,0.282713
window 54,0.0127316,0.00288928,0.290384
window 55,-0.0195824,0.0017233,0.252167
window 56,-0.0786462,0.00401403,0.278215
window 57,-0.0417046,0.000240146,0.268315
window 58,0.114603,0.0015878,0.366652
window 59,0.0451879,0.00893684,0.38285
window 60,0.0225201,0.000173396,0.340435
window 61,0.0958168,0.0157484,0.319171
window 62,0.0146035,0.00323001,0.309382
