Window,Return,Min weight,Max weight
window 0,0.0589301,0.00257561,0.164167
window 1,0.0383915,0.00257561,0.164167
window 2,0.0454559,0.000232374,0.126323
window 3,0.0349275,0.000232374,0.126323
window 4,0.00493869,0.000232374,0.126323
window 5,0.0502071,0.000232374,0.126323
window 6,0.0156453,0.000232374,0.126323
window 7,0.0488382,0.000232374,0.126323
window 8,0.00322463,0.000232374,0.126323
window 9,0.011431,0.00635223,0.131277
window 10,0.0117601,0.00635223,0.131277
window 11,0.012026,0.00181408,0.281795
window 12,0.0436623,0.00297954,0.257195
window 13,-0.0624692,0.00103729,0.249242
window 14,-0.0887628,0.000875413,0.21351
window 15,0.107082,0.000490065,0.184067
window 16,0.0747646,0.000490065,0.184067
window 17,0.00773584,0.000490065,0.184067
window 18,0.0791092,2.30176e-05,0.152325
window 19,0.019361,0.00201952,0.152028
window 20,-0.0114443,0.00201952,0.152028
window 21,-0.0106694,0.00201952,0.152028
window 22,0.0482762,0.00201952,0.152028
window 23,0.0179621,0.000552403,0.1558
window 24,-0.0242983,0.00219366,0.139787
window 25,-0.0584454,0.000550495,0.184301
window 26,0.0460386,0.000146522,0.113469
window 27,0.0290252,0.000146522,0.113469
window 28,0.0163411,0.00184487,0.10566
window 29,0.00651098,0.00184487,0.10566
window 30,0.0272584,0.00184487,0.10566
window 31,-0.00111967,0.00184487,0.10566
window 32,-0.0322966,0.00184487,0.10566
window 33,0.0331894,0.000179778,0.103825
window 34,-0.0084419,0.000179778,0.103825
window 35,0.0932531,0.000179778,0.103825
window 36,-0.0672265,0.000179778,0.103825
window 37,-0.0206332,0.00134366,0.0868294
window 38,0.0775548,0.00189814,0.102749
window 39,-0.0257151,0.00162694,0.117497
window 40,0.00801491,0.000340357,0.10797
window 41,-0.0340651,0.00322172,0.118367
window 42,0.0451434,0.00214192,0.187908
window 43,-0.0212278,9.77222e-06,0.181049
window 44,-0.0734285,0.000270962,0.128916
window 45,0.0877418,7.44004e-05,0.236338
window 46,0.0502009,7.44004e-05,0.236338
window 47,-0.0437782,7.44004e-05,0.236338
window 48,0.00620682,0.000761375,0.207565
window 49,-0.0191663,0.000609988,0.212799
window 50,0.0329143,0.00300584,0.186348
window 51,0.0182221,0.00300584,0.186348
window 52,-0.0231114,0.00300584,0.186348
window 53,0.0112787,0.000860323,0.192181
window 54,0.00259711,0.000860323,0.192181
window 55,-0.0388104,0.00107099,0.19264
window 56,-0.0481125,0.000916647,0.126527
window 57,-0.00894581,0.00323729,0.159477
window 58,0.0410258,0.00323729,0.159477
window 59,0.0495613,0.00323729,0.159477
window 60,0.00297866,0.00323729,0.159477
window 61,0.0323453,0.00323729,0.159477
window 62,0.0370078,0.00323729,0.159477
