Window,Return,Min weight,Max weight
window 0,-0.0402603,0.00012445,0.146601
window 1,0.0188187,0.00188805,0.138924
window 2,0.0439502,0.00188805,0.138924
window 3,0.0224741,0.000648402,0.160646
window 4,-0.0588803,0.00015844,0.170522
window 5,-0.0205951,6.70134e-05,0.159225
window 6,0.031032,0.000671123,0.167854
window 7,-0.0136431,3.79032e-05,0.169418
window 8,0.0816755,4.38816e-05,0.171088
window 9,0.0106631,0.00127248,0.141614
window 10,-0.000719392,0.000664948,0.15344
window 11,0.0641772,0.00107394,0.168305
window 12,0.0163018,0.000320161,0.175788
window 13,0.0348821,6.21443e-05,0.17658
window 14,0.00890685,6.21443e-05,0.17658
window 15,0.0316368,0.000366997,0.146859
window 16,0.00778634,0.000366997,0.146859
window 17,-0.00924917,0.000259825,0.131875
window 18,-0.0350601,0.000915711,0.124454
window 19,0.00425495,0.00143305,0.110689
window 20,-0.036103,0.000282072,0.112928
window 21,0.059225,0.00166624,0.104805
window 22,-0.0149977,0.00030055,0.0966243
window 23,0.0198738,0.000644159,0.127998
window 24,0.0410767,0.00196984,0.129132
window 25,0.00791506,3.67139e-05,0.129007
window 26,0.0264696,6.74511e-05,0.116309
window 27,0.0326623,0.0006331,0.121206
window 28,-0.0266184,0.000414595,0.117682
window 29,0.0524154,8.41612e-05,0.124472
window 30,0.0108501,0.000246236,0.103904
window 31,-0.00596145,0.000235034,0.109005
window 32,0.00312842,0.00047396,0.0989432
window 33,-0.0102045,0.000178779,0.111926
window 34,0.00766377,0.000409576,0.120166
window 35,-0.00134862,0.000965853,0.129495
window 36,0.0704727,0.00165425,0.130911
window 37,0.0307371,0.000642293,0.130321
window 38,0.044656,0.00277427,0.13078
window 39,0.0205915,9.62051e-05,0.116011
window 40,-0.00992957,0.000834327,0.133322
window 41,-0.0100346,9.8891e-05,0.167598
window 42,0.0557567,0.00061118,0.179493
window 43,-0.0279674,0.00061118,0.179493
window 44,0.0182313,0.00168181,0.172742
window 45,0.0473505,0.001865,0.17535
window 46,0.0140716,5.76029e-05,0.164643
window 47,0.00772832,0.00115304,0.159972
window 48,-0.00673842,0.000350586,0.151297
window 49,0.0462656,0.000119427,0.154418
window 50,-0.006317,0.000105365,0.169016
window 51,-0.00565072,0.000291198,0.169778
window 52,0.0128114,0.00137313,0.153885
window 53,0.0127179,0.00183436,0.146744
window 54,-0.0339058,0.000538299,0.164259
window 55,0.055781,3.41198e-05,0.136248
window 56,-0.00113137,0.00085773,0.141559
window 57,0.0399338,0.000122203,0.162491
window 58,0.0365576,0.00137546,0.159943
window 59,0.000898205,9.44689e-05,0.149578
window 60,0.0152622,0.000175637,0.142968
window 61,0.0248657,0.00119179,0.154307
window 62,-0.0054695,0.00102274,0.129918
window 63,-0.0104519,0.00108364,0.123646
window 64,0.0164976,0.000221548,0.123933
window 65,-0.0131538,0.00149729,0.126405
