Window,Return,Omega,Min weight,Max weight
window 0,0.0484993,47.5976,0.00756619,0.174752
window 1,0.0494263,47.8592,0.00756619,0.174752
window 2,0.0409941,46.9097,0.0111056,0.182423
window 3,0.0209373,47.1449,0.0069494,0.175734
window 4,-0.0442368,47.3635,0.0069494,0.175734
window 5,0.087087,45.56,0.00209492,0.211225
window 6,0.024443,45.9477,0.00209492,0.211225
window 7,0.00609432,47.0236,0.0027063,0.186812
window 8,0.00358673,51.033,0.00212239,0.211047
window 9,0.0381818,68.7697,0.0025626,0.247866
window 10,0.0337268,68.947,0.0025626,0.247866
window 11,0.0149029,43.3226,0.00058931,0.268587
window 12,0.00414963,36.3012,0.000144181,0.226422
window 13,-0.0794115,42.606,0.00284927,0.22425
window 14,-0.0415762,54.4773,0.00676672,0.247286
window 15,0.0774169,39.7447,0.0240963,0.189218
window 16,0.0445729,61.9147,0.00373263,0.231714
window 17,0.0107552,76.8129,0.00116443,0.198176
window 18,0.0771984,62.5443,0.00373263,0.231714
window 19,0.143608,67.6472,0.00234544,0.164311
window 20,-0.010178,68.2551,0.00234544,0.164311
window 21,-0.0305767,68.2818,0.00234544,0.164311
window 22,0.119557,67.931,0.00234544,0.164311
window 23,0.0497499,62.3693,0.0159169,0.179639
window 24,0.0172999,62.9381,0.0156409,0.179387
window 25,-0.0362347,70.4765,0.00828218,0.198026
window 26,0.018451,62.3045,0.00110105,0.198193
window 27,0.0241333,62.3179,0.00110105,0.198193
window 28,-0.0106631,62.3555,0.00110105,0.198193
window 29,0.0169817,50.9744,0.00255247,0.245121
window 30,0.0303518,50.7998,0.00215888,0.267986
window 31,0.0226186,54.2524,0.00741525,0.232043
window 32,-0.0427377,67.8157,0.0079486,0.227165
window 33,0.0863244,65.9389,0.000140866,0.189622
window 34,0.00815151,65.9997,0.000613956,0.19308
window 35,0.0854352,65.9243,0.000613956,0.19308
window 36,-0.0934517,66.2659,0.000613956,0.19308
window 37,-0.0235067,62.3108,0.00944304,0.215327
window 38,0.0545217,58.0637,0.00671745,0.213775
window 39,-0.0664685,62.9827,0.00489576,0.21758
window 40,-0.0339462,45.124,0.00157985,0.240394
window 41,-0.066187,38.0654,0.00330802,0.21364
window 42,0.060759,35.4048,0.000810091,0.206588
window 43,-0.0310609,34.3862,0.000730545,0.185792
window 44,-0.0502734,34.3202,0.00962845,0.256623
window 45,0.0735384,39.5404,8.38074e-05,0.253442
window 46,0.0602003,39.7462,0.0075378,0.257071
window 47,-0.0556188,44.6107,0.000932201,0.294505
window 48,0.0306207,42.4114,0.00918557,0.262042
window 49,-0.0210675,45.231,0.00664163,0.27975
window 50,0.0432299,61.5218,0.00515749,0.256559
window 51,0.021893,56.2592,0.00183221,0.210866
window 52,-0.000507056,63.4998,0.00534,0.270711
window 53,0.0458387,63.2501,0.00951231,0.267651
window 54,0.0184857,63.5277,0.00951231,0.267651
window 55,0.00417486,63.601,0.00951231,0.267651
window 56,-0.028854,62.9185,0.00623617,0.260028
window 57,0.00149637,80.6707,0.000835579,0.2621
window 58,0.0250445,80.8904,0.000835579,0.2621
window 59,0.0693375,80.9545,0.000835579,0.2621
window 60,0.0599513,81.2669,0.000835579,0.2621
window 61,0.0596457,81.3994,0.000835579,0.2621
window 62,0.0197719,84.8439,0.00755245,0.223079
