Window,Return,Omega,Min weight,Max weight
window 0,-0.0112411,29.67,0.00664301,0.301666
window 1,0.00917494,30.6727,0.00103772,0.306181
window 2,0.0425351,30.6531,0.00723479,0.307421
window 3,0.00453608,30.764,0.00723479,0.307421
window 4,-0.0866967,22.1934,0.00870695,0.252852
window 5,-0.0377123,20.7151,0.0108134,0.250409
window 6,0.0590957,20.2697,0.0182062,0.264017
window 7,-0.0261699,21.4897,0.00482432,0.226852
window 8,0.0687857,21.6249,0.000324999,0.212195
window 9,0.0426463,19.5752,0.00140267,0.252542
window 10,0.000312987,19.5037,0.00251088,0.249958
window 11,0.040994,19.8958,0.000255681,0.248821
window 12,0.028924,19.9217,0.000255681,0.248821
window 13,0.0200098,19.8251,0.000512068,0.248962
window 14,0.00218389,19.7026,0.00119324,0.248862
window 15,0.0394805,19.6953,0.00119324,0.248862
window 16,-0.00895929,19.7622,0.00119324,0.248862
window 17,-0.0243862,19.8333,0.000190369,0.231336
window 18,-0.0215632,19.6451,0.00136561,0.239745
window 19,-0.0143831,21.6242,0.0113425,0.181076
window 20,-0.0281215,21.5617,0.0113425,0.181076
window 21,0.067612,21.4507,0.0146546,0.181938
window 22,0.0182564,21.6562,0.0146546,0.181938
window 23,0.0304161,21.4555,0.0146546,0.181938
window 24,0.022578,21.5123,0.0146546,0.181938
window 25,0.0297989,21.5858,0.0146546,0.181938
window 26,0.0181411,21.7742,0.000579982,0.175308
window 27,0.00346204,21.7734,0.000579982,0.175308
window 28,-0.0350061,24.321,0.0020926,0.251533
window 29,0.050186,24.1449,0.00208941,0.218044
window 30,0.0417567,23.9594,0.00295999,0.21742
window 31,0.0130628,24.0762,0.00295999,0.21742
window 32,0.0268528,24.0937,0.000276979,0.217961
window 33,-0.0611481,24.121,0.000276979,0.217961
window 34,0.0012766,22.9305,0.00951205,0.260563
window 35,-0.0138716,22.9005,0.00951205,0.260563
window 36,0.0541706,23.02,0.00387049,0.266861
window 37,0.0185109,23.2346,0.00525741,0.264385
window 38,0.0407647,23.2801,0.00104785,0.254446
window 39,0.0131882,21.9816,0.00286875,0.229057
window 40,0.00764711,23.3575,0.000857251,0.25342
window 41,-0.00775467,23.3865,0.000857251,0.25342
window 42,0.0570122,23.1246,0.00192874,0.228995
window 43,-0.0306607,21.9933,0.00231979,0.148609
window 44,0.0192566,22.7621,0.0148091,0.136381
window 45,0.0646959,22.6278,0.0148091,0.136381
window 46,0.0342152,23.2414,0.00609363,0.172129
window 47,0.0181414,23.336,0.00609363,0.172129
window 48,-0.050949,22.7979,0.0148091,0.136381
window 49,0.0320725,21.875,0.00432418,0.160791
window 50,0.00659653,22.7881,0.000960504,0.180723
window 51,0.0160345,22.7707,0.000960504,0.180723
window 52,0.00434535,22.8194,1.05433e-06,0.176246
window 53,0.00153879,22.8845,0.00676914,0.176244
window 54,0.0050982,22.7465,0.00676914,0.176244
window 55,0.0574358,22.8045,0.00515311,0.177771
window 56,0.000277055,22.9543,0.00238623,0.181481
window 57,0.027096,24.0929,0.00688392,0.212835
window 58,0.0254785,24.1609,0.00263844,0.216072
window 59,-0.00319599,24.2832,0.0067538,0.225631
window 60,-0.00874274,24.1111,0.0067538,0.225631
window 61,0.0213097,23.9717,0.00296359,0.22056
window 62,-0.0239839,23.9571,0.00296359,0.22056
window 63,-0.0153062,23.851,0.0067538,0.225631
window 64,-0.0063068,23.7472,0.00274223,0.220439
window 65,-0.0160237,23.6336,0.00274223,0.220439
