Window,Return,Omega,Min weight,Max weight
window 0,-0.01456,2.37823,0.0117615,0.17597
window 1,0.00032736,2.38453,0.0174292,0.172496
window 2,0.0386037,2.37987,0.00284846,0.181304
window 3,-0.0225746,2.34432,0.0107661,0.150511
window 4,-0.0855843,2.24428,0.0115777,0.186687
window 5,-0.0472482,2.22059,0.0144722,0.203023
window 6,0.0803393,2.21145,0.0124649,0.23628
window 7,-0.0466132,2.21184,0.00460455,0.231712
window 8,0.109484,2.22123,0.0337543,0.191422
window 9,0.0595905,2.2699,0.00303333,0.206979
window 10,-0.0197887,2.21552,2.85619e-05,0.294942
window 11,0.0717807,2.25482,0.0233843,0.195996
window 12,-0.00206823,2.25735,0.0211402,0.170641
window 13,0.0446508,2.23144,0.00190054,0.173917
window 14,0.00871442,2.27752,0.00575869,0.173898
window 15,0.0464965,2.27475,0.000273579,0.163717
window 16,-0.00785397,2.27841,0.00585186,0.151578
window 17,-0.0154524,2.2907,0.0102882,0.172397
window 18,0.00992936,2.2669,0.0042148,0.162159
window 19,-0.039225,2.24146,0.0174617,0.17662
window 20,-0.0161255,2.23379,0.00208069,0.198492
window 21,0.0518234,2.2682,0.00129647,0.217464
window 22,0.000105389,2.26502,0.0349274,0.203951
window 23,-0.0175293,2.26698,0.00681888,0.210641
window 24,0.0420273,2.26429,0.00247282,0.229224
window 25,0.0338462,2.23917,0.0375154,0.201388
window 26,0.0484647,2.26908,0.0206097,0.205645
window 27,0.027141,2.2539,0.00279717,0.210801
window 28,-0.0436423,2.24235,0.00229872,0.192672
window 29,0.0412135,2.24763,0.0137434,0.217604
window 30,0.0329668,2.23544,0.0262421,0.23469
window 31,0.0125823,2.23201,0.0212378,0.236995
window 32,0.0154754,2.23841,0.029904,0.231331
window 33,-0.0419865,2.24906,0.000305961,0.2322
window 34,0.0391644,2.31079,0.0152945,0.214713
window 35,-0.0275661,2.32188,0.0132646,0.229586
window 36,0.0612552,2.30665,0.00058146,0.215405
window 37,0.00335099,2.33876,0.0128744,0.216172
window 38,0.0272579,2.32366,0.00204982,0.219398
window 39,0.01521,2.36528,0.00447036,0.27386
window 40,0.0227866,2.35539,0.00072656,0.272472
window 41,-0.0211249,2.37218,0.00350713,0.273154
window 42,0.0749842,2.40265,0.0125066,0.257492
window 43,-0.0222766,2.5086,0.00705767,0.251337
window 44,0.0452363,2.55085,0.00072125,0.261644
window 45,0.0919155,2.543,0.00169703,0.256113
window 46,0.0344355,2.57711,0.00383994,0.277113
window 47,0.0118761,2.59163,0.0126022,0.265457
window 48,-0.0420523,2.59816,0.00508707,0.251556
window 49,0.0418791,2.58232,0.00561279,0.247085
window 50,-0.0319948,2.58755,0.00106437,0.236249
window 51,0.0203166,2.55401,0.000489543,0.26019
window 52,0.044621,2.58696,0.00230323,0.295639
window 53,0.0157452,2.52334,0.00802174,0.282334
window 54,0.00508152,2.50617,0.00909816,0.282375
window 55,0.0688176,2.52704,0.000213757,0.271
window 56,0.0212871,2.58065,0.0031372,0.25995
window 57,0.0324024,2.61031,4.91907e-05,0.274598
window 58,0.0338423,2.58428,0.00373688,0.272611
window 59,-0.0173412,2.59322,0.00211526,0.276287
window 60,0.0651653,2.56241,0.000735645,0.255109
window 61,0.0542476,2.55945,0.0115033,0.273374
window 62,-0.0352451,2.54764,0.0129392,0.272433
window 63,0.00298931,2.49712,0.0125152,0.259814
window 64,0.037416,2.494,0.0093274,0.255821
window 65,0.00360161,2.49073,0.0171603,0.270027
