Window,Return,Omega,Min weight,Max weight
window 0,0.0579057,7.49174,0.000318973,0.148941
window 1,0.0461891,7.50225,0.00394272,0.171761
window 2,0.0348011,7.09001,0.0118948,0.174055
window 3,0.0311116,7.41008,0.00461455,0.158801
window 4,-0.0441812,7.45709,0.00644765,0.161438
window 5,0.0696338,6.9971,0.0162865,0.168991
window 6,0.0210375,7.06479,0.0108843,0.171858
window 7,0.0188065,7.311,0.00430199,0.166474
window 8,-0.00657956,8.2219,0.00165771,0.189003
window 9,0.0495974,8.75557,0.00865467,0.184972
window 10,0.0467677,8.71953,0.0297231,0.184657
window 11,0.0232673,8.29257,0.032846,0.179056
window 12,0.00722927,7.80777,0.00119085,0.253086
window 13,-0.0732778,8.7116,0.00010839,0.158884
window 14,-0.0716807,8.2254,0.00599621,0.169218
window 15,0.0645224,7.74237,0.00397089,0.252368
window 16,0.0546588,8.37655,0.00283345,0.177761
window 17,-0.00660915,9.24828,0.000514868,0.214873
window 18,0.0698438,8.38697,0.00861831,0.178682
window 19,0.145639,8.8677,0.00074162,0.208202
window 20,-0.013555,8.99359,0.00399472,0.179955
window 21,-0.0367886,8.99569,0.000756172,0.190675
window 22,0.123456,8.83619,0.00832242,0.215488
window 23,0.0568944,8.91303,0.00410743,0.220248
window 24,0.0152805,9.10683,0.00597475,0.237907
window 25,-0.0345,9.31782,0.00303682,0.227547
window 26,0.0173605,9.43444,0.00382006,0.188427
window 27,0.0304135,9.38953,0.00409053,0.187566
window 28,-0.0161858,9.32186,0.00482846,0.182785
window 29,0.0184379,8.80157,0.000939226,0.254995
window 30,0.0331472,8.75671,0.000939226,0.254995
window 31,0.0223923,8.86219,0.0125309,0.267089
window 32,-0.0330353,9.35307,0.00133867,0.197817
window 33,0.103885,9.62041,0.00756311,0.189515
window 34,-0.00765059,9.72168,0.00129815,0.18774
window 35,0.0740858,9.8914,0.00286351,0.183275
window 36,-0.0724499,9.90548,0.00189084,0.19038
window 37,-0.0234562,9.80778,0.0046914,0.176044
window 38,0.0739142,9.40406,0.00892885,0.291902
window 39,-0.0951829,9.78898,0.000287293,0.18251
window 40,-0.0362071,9.16741,0.0072825,0.190948
window 41,-0.0945196,8.54175,0.00903287,0.276333
window 42,0.0877367,8.68153,0.00180549,0.160033
window 43,-0.0373098,8.75741,0.00193284,0.15996
window 44,-0.0692752,8.74288,0.0140215,0.156083
window 45,0.0742756,8.70329,0.00516399,0.172271
window 46,0.069353,8.77804,0.00771861,0.159027
window 47,-0.0481346,8.98605,0.00136726,0.174085
window 48,0.0242527,9.09449,0.000890573,0.174874
window 49,-0.0181198,9.46795,0.00290442,0.184763
window 50,0.060071,9.64736,0.000132188,0.206767
window 51,0.0162569,9.92031,0.00148256,0.204888
window 52,0.00597761,10.0503,0.000232752,0.189589
window 53,0.0510179,10.2781,0.0150846,0.182786
window 54,0.0222492,10.2152,0.0206667,0.191216
window 55,0.00918013,10.016,0.00151297,0.182005
window 56,-0.0329353,9.77463,0.00443531,0.208754
window 57,-0.00200342,9.84922,0.00590182,0.212973
window 58,0.0406063,10.0398,0.000965811,0.213201
window 59,0.0702111,10.0949,0.00546813,0.216104
window 60,0.0556247,10.1703,0.00418857,0.216298
window 61,0.0782005,10.1885,0.00207328,0.218634
window 62,0.0114837,10.4294,0.00221146,0.207873
