Window,Return,Omega,Min weight,Max weight
window 0,0.0365315,24.1464,0.00156929,0.181502
window 1,0.0416304,24.3049,0.00173442,0.169978
window 2,0.0369654,23.7622,0.0072671,0.227492
window 3,0.0149262,24.62,0.00285467,0.180226
window 4,-0.0436122,24.707,0.00310044,0.180259
window 5,0.082698,23.6924,0.00361977,0.244888
window 6,0.0236142,23.876,0.00155925,0.245288
window 7,0.0271616,24.4475,0.00216279,0.209492
window 8,-0.00574036,26.2697,0.0058424,0.152516
window 9,0.045093,31.0331,0.00197943,0.26234
window 10,0.0401559,31.1881,0.000856588,0.264357
window 11,0.0169349,22.743,0.00088891,0.25974
window 12,-0.000970597,21.5243,0.00153211,0.274932
window 13,-0.0778032,25.5726,0.00348575,0.22899
window 14,-0.0537387,24.9838,0.00044059,0.224739
window 15,0.0841212,21.0816,0.00614907,0.184585
window 16,0.0477998,26.9493,0.0106682,0.194636
window 17,-0.00652387,32.1459,0.00048232,0.22824
window 18,0.067523,27.0746,0.00175327,0.193699
window 19,0.119887,29.2438,0.00938222,0.18515
window 20,-0.000917116,29.4887,0.00820967,0.185968
window 21,-0.0280246,29.5131,0.00820967,0.185968
window 22,0.107819,29.2876,0.00843931,0.194581
window 23,0.0393932,28.8557,0.0104302,0.182361
window 24,0.0143949,29.1906,0.0184428,0.198758
window 25,-0.0256911,31.3294,0.00292158,0.216933
window 26,0.0181688,32.1261,0.00501101,0.220082
window 27,0.0249813,32.1061,0.00501101,0.220082
window 28,-0.00674143,31.7251,0.00514669,0.218987
window 29,0.0209151,28.2816,0.00782966,0.193675
window 30,0.0346693,28.1307,0.00782966,0.193675
window 31,0.0263268,29.1634,0.00493899,0.23788
window 32,-0.0393829,33.3468,0.00443235,0.208689
window 33,0.0991523,32.6549,0.00125965,0.201852
window 34,-0.00478709,32.781,0.00376967,0.201981
window 35,0.0767664,32.7071,0.00376967,0.201981
window 36,-0.0785944,32.8682,0.00376967,0.201981
window 37,-0.0206482,32.2022,0.00474209,0.198651
window 38,0.0465374,29.5388,0.0114419,0.221616
window 39,-0.0770211,31.9934,0.00578114,0.198835
window 40,-0.0495618,26.5351,0.00409525,0.259355
window 41,-0.0708791,23.6534,0.000867461,0.202981
window 42,0.0491399,22.2523,0.00404148,0.188842
window 43,-0.0354414,21.7052,0.00258149,0.175991
window 44,-0.0590248,21.2023,0.0175138,0.221069
window 45,0.0733183,22.7485,0.0192259,0.267644
window 46,0.0720988,22.8771,0.00192631,0.261319
window 47,-0.0478375,25.223,0.00308578,0.284792
window 48,0.0311886,26.2327,0.024363,0.26601
window 49,-0.0195029,26.6652,0.00471363,0.272641
window 50,0.0524605,33.0262,0.00302807,0.249938
window 51,0.018386,32.9366,0.00185331,0.25062
window 52,-0.00707371,33.939,0.00600417,0.252465
window 53,0.0438102,33.945,3.05279e-05,0.247587
window 54,0.0256835,34.1017,3.05279e-05,0.247587
window 55,-0.00292599,34.1745,3.16924e-05,0.247586
window 56,-0.0239218,34.7277,0.000820043,0.22134
window 57,-0.00239371,38.454,0.0167486,0.241001
window 58,0.0257138,38.5323,0.0167486,0.241001
window 59,0.0623036,38.599,0.0167486,0.241001
window 60,0.0603423,38.7686,0.0167486,0.241001
window 61,0.0701928,38.8338,0.0167486,0.241001
window 62,0.0189638,41.0645,0.00669976,0.223915
