Window,Return,Omega,Min weight,Max weight
window 0,0.175173,1.45822,0.0338845,0.577356
window 1,0.0513168,1.46718,0.119283,0.581458
window 2,0.0305658,1.45407,0.32883,0.67117
window 3,0.0196514,1.50087,0.153407,0.470374
window 4,-0.120147,1.49664,0.0661572,0.568269
window 5,0.088379,1.45339,0.282975,0.717025
window 6,-0.0704921,1.46098,0.0422325,0.735216
window 7,-0.0691921,1.44354,0.043034,0.730243
window 8,-0.0453619,1.43834,0.0801343,0.683383
window 9,0.0798578,1.41271,0.0411502,0.736764
window 10,0.0877734,1.44527,0.0499644,0.664295
window 11,0.0457622,1.43641,0.0282627,0.695929
window 12,0.0523083,1.44491,0.122929,0.671851
window 13,0.0436636,1.43776,0.0750331,0.691043
window 14,-0.00545948,1.45974,0.04614,0.76188
window 15,0.119474,1.47184,0.0358681,0.807462
window 16,0.0328104,1.47176,0.0326115,0.6621
window 17,0.0867431,1.45266,0.0610615,0.730439
window 18,0.0949976,1.4632,0.0545097,0.744467
window 19,0.13066,1.45075,0.0074176,0.778847
window 20,-0.0905473,1.48157,0.202225,0.400526
window 21,-0.0612072,1.48702,0.158204,0.455351
window 22,0.114027,1.46836,0.0208538,0.460036
window 23,0.13085,1.47215,0.0407895,0.4259
window 24,0.0203404,1.46404,0.00196578,0.40672
window 25,-0.0656577,1.46029,0.00293208,0.371239
window 26,-0.011378,1.44596,0.0775557,0.36482
window 27,0.0370058,1.43846,0.0234224,0.402474
window 28,-0.0551733,1.45162,0.00452853,0.428564
window 29,0.0777768,1.44405,0.02734,0.382398
window 30,0.0237312,1.46929,0.00560553,0.440112
window 31,0.0641784,1.47425,0.0904477,0.408287
window 32,-0.00482197,1.47686,0.123108,0.422092
window 33,0.158283,1.49574,0.108673,0.391683
window 34,0.0241047,1.50089,0.0189096,0.388914
window 35,-0.0140018,1.51205,0.065733,0.37248
window 36,-0.130487,1.50618,0.00668017,0.418157
window 37,-0.0651687,1.50421,0.240693,0.466934
window 38,0.0704285,1.50146,0.00673433,0.459004
window 39,-0.243936,1.50662,0.0325952,0.36497
window 40,-0.0808497,1.42113,0.0255891,0.410905
window 41,-0.104098,1.42687,0.0851483,0.464875
window 42,0.23397,1.41812,0.0873305,0.547746
window 43,-0.0605106,1.44114,0.0944077,0.494369
window 44,-0.104337,1.43017,0.0633137,0.54102
window 45,0.0316828,1.39132,0.022128,0.601434
window 46,-0.059643,1.39954,0.0146324,0.718862
window 47,-0.173624,1.38373,0.134988,0.659236
window 48,0.191185,1.38481,0.151783,0.69162
window 49,0.0258964,1.45948,0.097844,0.473229
window 50,0.0987736,1.46409,0.12952,0.432545
window 51,-0.0246334,1.42576,0.155032,0.638213
window 52,0.116085,1.46128,0.0078992,0.585024
window 53,0.131851,1.47175,0.0925186,0.484687
window 54,0.0230625,1.49588,0.138766,0.407229
window 55,-0.0189592,1.49747,0.149142,0.401894
window 56,-0.093242,1.50147,0.179179,0.391201
window 57,-0.0529892,1.48632,0.158947,0.38444
window 58,0.140179,1.50094,0.0930871,0.505374
window 59,0.0256464,1.5032,0.0934954,0.500349
window 60,-0.0195703,1.49844,0.0974733,0.505592
window 61,0.0726343,1.50229,0.17723,0.435076
window 62,-0.0141533,1.49639,0.197084,0.387613
