Window,Return,Omega,Min weight,Max weight
window 0,-0.0634888,1.41246,0.00450398,0.321092
window 1,0.00581311,1.41362,0.00382729,0.358622
window 2,0.0820476,1.42752,0.00556633,0.389408
window 3,-0.000987987,1.4264,0.000416891,0.401731
window 4,-0.103441,1.43958,0.0107532,0.418076
window 5,-0.0867855,1.4426,0.0162163,0.346225
window 6,0.0974134,1.43708,0.0308121,0.346204
window 7,-0.0293149,1.43194,0.0310625,0.27216
window 8,0.185197,1.44018,0.030921,0.291411
window 9,0.05539,1.43786,0.0145893,0.289791
window 10,0.00361259,1.43413,0.0410861,0.457261
window 11,0.0608303,1.43002,0.000403095,0.487967
window 12,-0.00828329,1.44683,0.00119844,0.48042
window 13,0.0451268,1.44422,0.0350861,0.442806
window 14,0.0013192,1.45202,0.000225318,0.438217
window 15,0.0697842,1.45515,0.041334,0.474657
window 16,-0.00683434,1.48004,0.0239672,0.395906
window 17,-0.0035118,1.48352,0.0521166,0.44741
window 18,0.032664,1.47595,0.0508889,0.502649
window 19,-0.0405681,1.48427,0.0564512,0.514936
window 20,-0.00509315,1.47867,0.0666124,0.512228
window 21,0.0309453,1.48368,0.0602717,0.549441
window 22,-0.0464725,1.47771,0.054033,0.499458
window 23,-0.0742336,1.47128,0.0613404,0.510914
window 24,0.0831123,1.46637,0.0581451,0.432063
window 25,0.00681539,1.47399,0.0554649,0.421709
window 26,0.0890984,1.46138,0.0884398,0.413977
window 27,0.0470501,1.45569,0.0649785,0.424013
window 28,-0.078521,1.45402,0.0576006,0.445268
window 29,0.0466016,1.43559,0.0676544,0.452966
window 30,0.0407717,1.45729,0.0815117,0.445632
window 31,0.0477558,1.45676,0.0642819,0.454327
window 32,0.0154293,1.45654,0.0607857,0.46326
window 33,-0.0683706,1.46301,0.0841016,0.451749
window 34,0.0729785,1.47825,0.0708917,0.445334
window 35,-0.0269391,1.47935,0.0135638,0.425304
window 36,0.0536006,1.46635,0.0665087,0.470747
window 37,0.00530701,1.45998,0.0610783,0.476083
window 38,0.0427708,1.4507,0.0559752,0.531894
window 39,-0.00197621,1.45559,0.0741017,0.439417
window 40,0.0402429,1.43833,0.0614378,0.468499
window 41,-0.0201417,1.44541,0.062466,0.389104
window 42,0.0957407,1.44916,0.120348,0.427149
window 43,-0.0312298,1.47008,0.127583,0.436061
window 44,0.0507593,1.46977,0.182346,0.367855
window 45,0.137761,1.45976,0.142015,0.495987
window 46,0.0463331,1.49038,0.0315661,0.347448
window 47,0.0133519,1.48278,0.0143357,0.491533
window 48,-0.0107226,1.53523,0.0356083,0.441425
window 49,0.0384521,1.54573,0.0281757,0.447285
window 50,-0.0787746,1.55504,0.0550972,0.377869
window 51,-0.0213268,1.55982,0.00638958,0.376254
window 52,0.056781,1.56154,0.00209,0.29671
window 53,0.0135774,1.5688,0.0241024,0.340901
window 54,0.028444,1.57122,0.081177,0.338397
window 55,0.0774748,1.57773,0.0812001,0.337995
window 56,-0.0245215,1.56455,0.0843685,0.347806
window 57,-0.00169161,1.54998,0.0575919,0.310692
window 58,0.0129626,1.53328,0.0826453,0.357264
window 59,-0.00232101,1.53397,0.0833729,0.380705
window 60,0.131471,1.52204,0.0643235,0.423973
window 61,0.0549931,1.51706,0.0780324,0.379528
window 62,-0.0136109,1.50164,0.0821437,0.375947
window 63,0.00352458,1.48867,0.0795334,0.438564
window 64,0.0452891,1.49534,0.00511688,0.486132
window 65,0.015569,1.49215,0.00588437,0.485314
