Window,Return,Omega,Min weight,Max weight
window 0,0.0125019,9.24506,0.00377903,0.194335
window 1,0.00983865,9.44907,9.34812e-05,0.188517
window 2,0.0390882,9.44685,0.00619986,0.181547
window 3,-0.0159319,9.39646,0.00107784,0.199356
window 4,-0.0912486,7.24139,0.0119432,0.225834
window 5,-0.0212867,7.04195,0.01254,0.216103
window 6,0.0558213,6.98429,0.00406251,0.192002
window 7,-0.0258466,7.00307,0.00138573,0.246157
window 8,0.0734239,6.92531,0.0038384,0.26091
window 9,0.0379375,6.80094,0.00233546,0.218418
window 10,-0.00476533,6.76452,0.00432001,0.224658
window 11,0.052942,6.89354,0.00267226,0.194636
window 12,0.0158916,6.91973,0.0077107,0.192297
window 13,0.0330151,6.85821,9.94207e-05,0.192583
window 14,0.00747237,6.82952,0.0148192,0.181835
window 15,0.0350036,6.75771,0.00823469,0.192733
window 16,-0.0103422,6.79389,0.00719066,0.215081
window 17,-0.0214692,6.78002,0.00920728,0.205343
window 18,-0.0330069,6.74112,0.00954033,0.166527
window 19,-0.0233064,6.91912,0.000182948,0.211389
window 20,-0.0260283,6.88117,0.00497469,0.197532
window 21,0.0566396,7.05207,0.00207341,0.212401
window 22,0.0136599,7.15136,0.00863352,0.200934
window 23,0.0333061,7.10138,0.00740973,0.199866
window 24,0.0290689,7.13055,0.00435291,0.199435
window 25,0.0204732,7.12011,0.00668141,0.206359
window 26,0.0220097,7.2062,0.00403737,0.211955
window 27,0.015911,7.18754,0.00392255,0.21219
window 28,-0.0372084,7.49299,0.00320753,0.234796
window 29,0.0418873,7.60245,0.00604925,0.174342
window 30,0.0344687,7.58653,0.00361572,0.174382
window 31,0.012506,7.43793,0.0168322,0.181874
window 32,0.0260033,7.49012,0.0167397,0.181261
window 33,-0.0592202,7.49045,0.013992,0.189813
window 34,0.00666551,7.93136,0.000457549,0.182146
window 35,-0.013491,7.91218,0.00556854,0.179424
window 36,0.0587447,8.09473,0.00291999,0.173119
window 37,0.0212836,8.18843,0.00239339,0.167985
window 38,0.0381371,8.22415,0.00302714,0.165043
window 39,0.0150817,7.97624,0.00862061,0.152814
window 40,0.0142997,8.21561,0.000645303,0.170093
window 41,-0.0127513,8.33979,0.0180822,0.164033
window 42,0.0539017,8.16831,0.00179461,0.163266
window 43,-0.0297652,8.03802,0.00113833,0.165938
window 44,0.0188467,8.09438,0.00936195,0.162082
window 45,0.0611109,8.03599,8.7822e-05,0.148094
window 46,0.0327328,8.05771,0.0059591,0.152164
window 47,0.0164084,8.07597,0.00410799,0.153334
window 48,-0.0448085,8.03888,0.015241,0.146323
window 49,0.0331025,7.96937,0.0102086,0.136901
window 50,0.00441659,8.07954,0.00151335,0.155309
window 51,0.0283196,8.01656,0.00103898,0.154433
window 52,0.0110009,8.08234,0.00289917,0.158195
window 53,-0.000982434,8.03636,0.00357234,0.161461
window 54,2.34501e-05,7.97332,0.00345813,0.162089
window 55,0.0589351,8.12849,4.39693e-05,0.171984
window 56,0.00783834,8.2449,0.000994709,0.167696
window 57,0.0351682,8.35,0.00396963,0.193897
window 58,0.0268017,8.29755,0.000351107,0.194984
window 59,-0.00372099,8.31542,0.0086759,0.198147
window 60,-0.00361371,8.2389,0.0051925,0.19695
window 61,0.0244687,8.18315,0.0060257,0.192068
window 62,-0.0277991,8.17989,0.0145288,0.185399
window 63,-0.0113914,8.03127,0.00399273,0.17466
window 64,0.000363045,8.14635,0.00107057,0.176454
window 65,-0.0150424,8.09824,0.00812366,0.176871
