Window,Return,Omega,Min weight,Max weight
window 0,0.0414827,32.0673,0.000240383,0.181783
window 1,0.045014,32.249,0.000240383,0.181783
window 2,0.0383955,31.7326,0.000542873,0.179543
window 3,0.0177437,32.0308,0.00140964,0.184873
window 4,-0.0424324,32.1634,0.00140964,0.184873
window 5,0.0880666,31.0976,0.00142299,0.190385
window 6,0.0264401,31.3423,0.00142299,0.190385
window 7,0.0251966,32.1221,0.00223861,0.212828
window 8,-0.00563644,34.4568,0.00227597,0.214551
window 9,0.0384764,40.2386,0.000937149,0.267154
window 10,0.0344616,40.4138,0.000937149,0.267154
window 11,0.0169704,30.7455,0.00138454,0.262328
window 12,-0.000915919,27.6433,0.00863861,0.289656
window 13,-0.0792132,33.0935,0.00447509,0.24435
window 14,-0.0538704,33.5385,0.000247731,0.238774
window 15,0.0827947,27.7543,0.0102927,0.193402
window 16,0.0480124,38.519,0.00965172,0.214976
window 17,0.00485388,46.963,0.00849134,0.214119
window 18,0.0783924,38.8963,0.00965172,0.214976
window 19,0.125817,42.943,0.00667521,0.205061
window 20,-0.00517786,43.2903,0.00667521,0.205061
window 21,-0.0252273,43.3246,0.00667521,0.205061
window 22,0.112412,43.1088,0.00667521,0.205061
window 23,0.0396966,40.4715,0.00089634,0.23167
window 24,0.0106166,40.7599,0.00571162,0.22995
window 25,-0.0339999,45.1911,0.00963392,0.209607
window 26,0.0208502,42.5857,0.00367192,0.229784
window 27,0.0228027,42.5632,0.00233195,0.231563
window 28,-0.00547198,42.5868,0.00233195,0.231563
window 29,0.0166915,36.6229,0.00165975,0.214735
window 30,0.0305626,36.4516,0.00165975,0.214735
window 31,0.0227392,38.1847,0.0172277,0.211471
window 32,-0.0385065,46.0702,0.00395313,0.221509
window 33,0.0999227,43.9189,0.0021638,0.216823
window 34,-0.000550925,44.0398,0.00351208,0.215359
window 35,0.0793096,43.9712,0.0021638,0.216823
window 36,-0.0870986,44.1656,0.0021638,0.216823
window 37,-0.0213275,44.7168,0.000757785,0.203315
window 38,0.050188,40.6471,0.00075261,0.22146
window 39,-0.0767148,44.7684,0.008727,0.202121
window 40,-0.0430387,33.3368,0.00898448,0.236144
window 41,-0.0705386,30.6728,0.00619901,0.210263
window 42,0.0490488,27.5777,0.0119206,0.193974
window 43,-0.0346194,27.0091,0.00156453,0.161033
window 44,-0.056176,27.1879,0.00161316,0.247319
window 45,0.0787547,29.1573,0.00303914,0.264229
window 46,0.0630049,29.3202,0.00303914,0.264229
window 47,-0.0568172,32.6498,0.00226319,0.304523
window 48,0.0331215,33.4247,0.012166,0.25885
window 49,-0.0299128,34.7733,0.00558086,0.26209
window 50,0.0492299,46.4211,0.00403914,0.246478
window 51,0.0174992,44.6819,0.0061305,0.239187
window 52,-0.00201841,47.7644,0.00320182,0.257774
window 53,0.044074,47.5473,0.00320182,0.257774
window 54,0.022063,47.7514,0.00320182,0.257774
window 55,-0.00131593,47.8436,0.00320182,0.257774
window 56,-0.0237762,48.2411,0.00389079,0.249697
window 57,-0.00118167,54.5622,0.0132703,0.256442
window 58,0.0243165,54.5688,0.000617213,0.252902
window 59,0.0676583,54.6234,0.00399636,0.25294
window 60,0.0624198,54.847,0.00399636,0.25294
window 61,0.0679457,54.9504,0.00524437,0.252854
window 62,0.0189299,57.6053,0.010211,0.22809
