Window,Return,Omega,Min weight,Max weight
window 0,0.0460155,39.9123,0.00119491,0.184892
window 1,0.0483587,40.1303,0.00119259,0.184896
window 2,0.0413565,39.8174,0.00100685,0.185192
window 3,0.0202865,40.0644,0.00100685,0.185192
window 4,-0.0421873,40.2491,0.00100685,0.185192
window 5,0.0875929,38.6774,0.00975198,0.20741
window 6,0.0267826,38.9967,0.00975198,0.20741
window 7,0.0144761,40.0177,0.00908053,0.202987
window 8,-0.0010465,43.2072,0.0094735,0.211033
window 9,0.0394461,50.3407,0.00183382,0.256481
window 10,0.0337351,50.3397,0.00222591,0.25677
window 11,0.0158201,38.9256,0.0012698,0.266683
window 12,0.00319732,33.8405,0.00797193,0.228208
window 13,-0.0771259,40.7004,2.24917e-05,0.236174
window 14,-0.0441646,44.243,0.00132449,0.233838
window 15,0.0817979,35.0916,0.0109958,0.212315
window 16,0.0496432,52.6439,0.000910392,0.212919
window 17,0.00920835,63.6939,0.00723407,0.200313
window 18,0.0781254,53.1677,0.0061554,0.215405
window 19,0.139165,57.3732,0.00536265,0.173453
window 20,-0.00900079,57.877,0.00536265,0.173453
window 21,-0.0285104,57.9,0.00536265,0.173453
window 22,0.117504,57.6076,0.00536265,0.173453
window 23,0.044743,53.4446,0.00593311,0.197658
window 24,0.0124668,53.9363,0.00685113,0.196237
window 25,-0.0382743,60.0558,0.00720819,0.194382
window 26,0.0208648,54.3886,0.00686293,0.205756
window 27,0.0228207,54.3429,0.00686293,0.205756
window 28,-0.00861098,54.3608,0.00686293,0.205756
window 29,0.0179699,44.9224,0.00464091,0.254406
window 30,0.0307099,44.758,0.00464091,0.254406
window 31,0.0200328,47.3246,0.0143249,0.20545
window 32,-0.0404959,58.6954,0.0090068,0.215586
window 33,0.0879128,56.4773,0.00609172,0.199502
window 34,0.00583146,56.3836,0.0159549,0.212771
window 35,0.0843809,56.3174,0.0159549,0.212771
window 36,-0.0915302,56.6017,0.0159549,0.212771
window 37,-0.0211121,58.2334,0.00791074,0.203021
window 38,0.0545692,53.7354,0.00743991,0.217621
window 39,-0.0692207,58.8592,0.00412696,0.215834
window 40,-0.0361825,40.2732,0.00227554,0.237682
window 41,-0.0678333,36.1146,0.000113418,0.21399
window 42,0.0589666,33.1028,0.00692167,0.203663
window 43,-0.0319157,32.2394,0.00306838,0.174057
window 44,-0.0522342,32.3574,0.0111293,0.25727
window 45,0.0744634,36.7354,0.00943241,0.256876
window 46,0.0611094,36.9217,0.00912086,0.259649
window 47,-0.056307,41.3526,0.00210643,0.299973
window 48,0.0313418,40.4007,0.009824,0.261368
window 49,-0.0221849,42.9089,0.00145779,0.278502
window 50,0.0430839,58.2723,0.00209547,0.252541
window 51,0.0221159,53.8003,0.000937567,0.215347
window 52,-0.00162786,60.3445,0.00214271,0.26928
window 53,0.0460745,60.0958,0.00214271,0.26928
window 54,0.0190424,60.3631,0.00214271,0.26928
window 55,0.00296666,60.4449,0.00214271,0.26928
window 56,-0.0276397,60.033,0.00233799,0.259343
window 57,0.000575035,71.7928,0.00103975,0.262331
window 58,0.0251051,71.9711,0.000417758,0.263084
window 59,0.0688952,72.0264,0.000417758,0.263084
window 60,0.0614023,72.2914,0.000417758,0.263084
window 61,0.0603519,72.4151,0.000417758,0.263084
window 62,0.0201535,74.562,0.00193854,0.245563
