Window,Return,Omega,Min weight,Max weight
window 0,-0.0237548,1.08826,0.361682,0.638318
window 1,0.0503921,1.0887,0.00750207,0.644154
window 2,0.117975,1.06877,0.0165902,0.605833
window 3,0.0610062,1.07428,0.172954,0.827047
window 4,-0.0854663,1.06969,0.354631,0.645369
window 5,-0.115847,1.06973,0.0831455,0.495044
window 6,0.0506565,1.06855,0.0184012,0.53716
window 7,-0.0155406,1.06942,0.45267,0.54733
window 8,0.161906,1.07149,0.477412,0.522588
window 9,0.074039,1.07425,0.466861,0.533139
window 10,0.0152741,1.07052,0.424138,0.575862
window 11,-0.121012,1.07089,0.424779,0.575221
window 12,0.0644463,1.0781,0.0583797,0.707506
window 13,0.0102047,1.09189,0.0278106,0.860831
window 14,0.0318325,1.08349,0.0171988,0.751563
window 15,0.10244,1.10561,0.0130706,0.872183
window 16,0.0894928,1.11411,0.075916,0.791328
window 17,0.083479,1.11686,0.0960429,0.700323
window 18,-0.044707,1.11844,0.0734906,0.776775
window 19,0.0934667,1.11331,0.136272,0.725384
window 20,0.017297,1.11679,0.0861759,0.773336
window 21,0.0150577,1.12284,0.0281336,0.863999
window 22,0.0188712,1.10918,0.0862788,0.768865
window 23,-0.0200534,1.11635,0.0821857,0.77724
window 24,0.146388,1.1225,0.0260824,0.879688
window 25,0.0870269,1.11083,0.109435,0.697665
window 26,0.0914369,1.1103,0.0356538,0.678285
window 27,0.0764536,1.12637,0.00652312,0.737252
window 28,0.0915593,1.12869,0.222412,0.777588
window 29,-0.0505947,1.13731,0.225751,0.774249
window 30,0.0316954,1.11627,0.145486,0.50529
window 31,0.00917566,1.13029,0.0828352,0.505098
window 32,-0.00754153,1.13146,0.00779806,0.533575
window 33,-0.103649,1.13938,0.163772,0.524562
window 34,0.159537,1.13646,0.0212626,0.404089
window 35,-0.0131465,1.13978,0.010408,0.468621
window 36,0.0123353,1.12447,0.0869732,0.369048
window 37,-0.00320045,1.12739,0.0443682,0.417894
window 38,0.0273306,1.11099,0.111809,0.344447
window 39,0.12633,1.10375,0.177568,0.338552
window 40,0.0672078,1.10805,0.149734,0.420152
window 41,-0.020813,1.10727,0.169414,0.421182
window 42,0.0770398,1.09645,0.121697,0.357441
window 43,-0.0753627,1.11694,0.104785,0.410224
window 44,0.133156,1.11272,0.103013,0.43048
window 45,0.0334856,1.11651,0.102212,0.400757
window 46,0.0560729,1.12494,0.0777906,0.416015
window 47,0.00427034,1.11514,0.110105,0.382647
window 48,-0.0055607,1.11639,0.0633541,0.358435
window 49,0.0961177,1.11199,0.17071,0.40174
window 50,-0.0898163,1.12928,0.0453687,0.601566
window 51,-0.0323788,1.1212,0.0622835,0.538234
window 52,0.045438,1.13134,0.0410575,0.616742
window 53,-0.0513815,1.1355,0.0968788,0.629262
window 54,0.0853546,1.14458,0.0192183,0.677266
window 55,0.108851,1.14728,0.077977,0.669709
window 56,0.012507,1.13168,0.0988275,0.636938
window 57,0.0862394,1.1448,0.0649289,0.691735
window 58,0.0647671,1.14204,0.0680603,0.665609
window 59,-0.0148138,1.1548,0.037891,0.700715
window 60,0.0654316,1.11034,0.201964,0.431179
window 61,0.0841199,1.12059,0.116614,0.489937
window 62,0.0231753,1.12212,0.0839088,0.569164
window 63,-0.00895131,1.12698,0.0698026,0.588745
window 64,-0.00456679,1.13517,0.349364,0.650636
window 65,0.0352619,1.12776,0.30665,0.69335
