Window,Return,Omega,Min weight,Max weight
window 0,-0.0210954,3225.88,0.00887526,0.1494
window 1,0.0296933,3219.04,0.00887526,0.1494
window 2,0.0299888,3216.79,0.00887526,0.1494
window 3,0.0375579,3231.23,0.00887526,0.1494
window 4,-0.0298706,3660.95,0.005,0.1292
window 5,0.017423,3639.82,0.005,0.129177
window 6,0.0291547,3640.43,0.005,0.129177
window 7,0.00383416,3530.21,0.005,0.132905
window 8,0.0739789,3535.64,0.005,0.132905
window 9,0.0148634,3553.31,0.005,0.132905
window 10,0.00852576,3545.26,0.005,0.132905
window 11,0.0618946,3540.45,0.005,0.132905
window 12,0.00508946,3558.92,0.005,0.132905
window 13,0.0278676,3542.84,0.005,0.132905
window 14,0.0277776,3535.48,0.005,0.132905
window 15,0.023417,3550.57,0.005,0.132905
window 16,0.017662,3548.23,0.005,0.132905
window 17,-0.0100466,3554.04,0.005,0.132905
window 18,-0.0382865,3540.03,0.005,0.132905
window 19,0.00802663,3643.56,0.005,0.128839
window 20,-0.0201545,3644.23,0.005,0.128839
window 21,0.0642894,3635.56,0.005,0.128839
window 22,-0.0140285,3655.9,0.005,0.128839
window 23,0.0289097,3921.92,0.00689033,0.119197
window 24,0.039953,3935.46,0.00689033,0.119197
window 25,0.00282187,3952.95,0.00689033,0.119197
window 26,0.0169162,3954.92,0.00689033,0.119197
window 27,0.0429425,3954.39,0.00689033,0.119197
window 28,-0.00814264,3966.85,0.00689033,0.119197
window 29,0.0565513,3968.31,0.00689033,0.119197
window 30,0.0263807,3967.01,0.00689033,0.119197
window 31,-0.0147761,3955.72,0.00927415,0.119797
window 32,0.0198888,3943.83,0.00927415,0.119797
window 33,-0.0324261,3945.75,0.00927415,0.119797
window 34,-0.00372883,3937.67,0.00554235,0.119457
window 35,-0.0133385,3928.71,0.00554235,0.119457
window 36,0.0422354,3928.87,0.00554235,0.119457
window 37,0.018877,3936.13,0.00554235,0.119457
window 38,0.0392955,3929.24,0.00554235,0.119457
window 39,-0.00861409,3950.42,0.00554235,0.119457
window 40,-0.0185788,3941.79,0.00554235,0.119457
window 41,0.00832194,3931.06,0.00554235,0.119457
window 42,0.0481047,3936.47,0.00554235,0.119457
window 43,-0.0335563,3931.47,0.00554235,0.119457
window 44,0.00663422,3952.33,0.00984139,0.11856
window 45,0.0275541,3948.47,0.00984139,0.11856
window 46,0.00760921,3965.25,0.005,0.118698
window 47,0.00800587,3962.33,0.005,0.118698
window 48,-0.00821611,3968.4,0.005,0.118698
window 49,0.0421848,3973.75,0.00987149,0.118726
window 50,0.0162119,4055.23,0.005,0.114838
window 51,0.0263652,4058.02,0.005,0.114838
window 52,-0.00213377,4069.14,0.005,0.114838
window 53,0.0235446,4070.99,0.005,0.114838
window 54,-0.0210053,4064.63,0.005,0.114838
window 55,0.0477088,4049.36,0.005,0.114838
window 56,-0.00663501,4076.66,0.005,0.114804
window 57,0.0579316,4062.98,0.005,0.114862
window 58,0.0456148,4079.47,0.005,0.114862
window 59,0.00497436,4100.9,0.005,0.114862
window 60,0.00754684,4085.89,0.005,0.114862
window 61,0.00452275,4084.7,0.005,0.114862
window 62,0.000701205,4077.6,0.005,0.114862
window 63,-0.00840343,4075.03,0.005,0.114862
window 64,0.00562419,4061.2,0.005,0.114862
window 65,-0.023724,4053.47,0.005,0.114862
