Window,Return,Omega,Min weight,Max weight
window 0,0.046756,278.508,0.00505252,0.134141
window 1,0.0384835,280.797,0.005,0.133407
window 2,0.0472817,281.16,0.005,0.130836
window 3,0.0214465,281.033,0.005,0.130836
window 4,-0.0118865,281.64,0.005,0.130836
window 5,0.0520598,280.347,0.005,0.130836
window 6,0.00945765,282.274,0.005,0.130836
window 7,0.0228976,282.875,0.005,0.130836
window 8,0.0224431,282.364,0.005,0.130836
window 9,0.0260038,294.276,0.005,0.152926
window 10,0.00677275,295.594,0.005,0.152926
window 11,0.0176545,306.046,0.005,0.237138
window 12,0.0166465,350.327,0.00552726,0.179116
window 13,-0.0785701,358.527,0.00567799,0.188978
window 14,-0.094285,255.204,0.00694199,0.274501
window 15,0.123395,245.836,0.005,0.162154
window 16,0.0827523,248.655,0.005,0.14078
window 17,0.0174334,249.957,0.005,0.14078
window 18,0.079644,250.554,0.005,0.14078
window 19,0.0225485,252.59,0.005,0.150982
window 20,-0.00791609,252.99,0.005,0.150982
window 21,-0.0101176,252.749,0.005,0.14078
window 22,0.0672025,252.449,0.005,0.14078
window 23,0.0204626,254.289,0.005,0.14078
window 24,-0.0177492,254.938,0.005,0.14078
window 25,-0.0448287,257.698,0.005,0.139557
window 26,0.0446728,284.3,0.005,0.161615
window 27,0.032725,283.539,0.005,0.156068
window 28,-0.00924344,284.23,0.005,0.165977
window 29,0.0252629,283.955,0.005,0.161615
window 30,0.042215,284.498,0.005,0.161615
window 31,0.0031603,286.2,0.005,0.161615
window 32,-0.0270969,286.839,0.005,0.161615
window 33,0.0445427,288.163,0.005,0.156326
window 34,-0.00610352,288.115,0.005,0.156326
window 35,0.0962439,287.301,0.005,0.157
window 36,-0.106967,290.327,0.005,0.157
window 37,-0.0238892,267.384,0.00676013,0.173663
window 38,0.0731741,265.209,0.00672678,0.173697
window 39,-0.0109162,260.085,0.005,0.173152
window 40,0.0137379,354.614,0.00604826,0.15219
window 41,-0.0470936,412.453,0.005,0.126929
window 42,0.0490456,358.644,0.005,0.17396
window 43,-0.0195579,358.873,0.005,0.17396
window 44,-0.0791794,365.426,0.005,0.173552
window 45,0.0951568,333.337,0.005,0.234055
window 46,0.0495807,335.084,0.005,0.234055
window 47,-0.0481844,336.277,0.005,0.234055
window 48,0.00345827,413.6,0.00521024,0.202443
window 49,-0.0100929,414.724,0.00521024,0.202443
window 50,0.0548059,493.113,0.005,0.210665
window 51,0.0104914,494.042,0.005,0.210665
window 52,-0.0150913,492.651,0.005,0.210665
window 53,0.00861866,491.294,0.005,0.210665
window 54,-0.00163319,490.925,0.005,0.210665
window 55,-0.0422691,489.685,0.005,0.210665
window 56,-0.057381,537.875,0.00558825,0.164213
window 57,-0.0178911,404.369,0.005,0.195104
window 58,0.0280665,402.741,0.005,0.195104
window 59,0.0650127,404.175,0.005,0.195104
window 60,0.0126706,406.648,0.005,0.195104
window 61,0.0418617,406.297,0.005,0.195104
window 62,0.0472668,407.951,0.005,0.195104
