Window,Return,Omega,Min weight,Max weight
window 0,0.0811599,7.50832,0.005,0.123895
window 1,0.0349282,7.57509,0.005,0.147353
window 2,0.032461,7.52313,0.005,0.149777
window 3,0.0296024,7.4841,0.005,0.140103
window 4,-0.0167522,7.514,0.005,0.136853
window 5,0.0400849,7.58073,0.005,0.170782
window 6,0.0129794,7.56062,0.005,0.170866
window 7,0.0376882,7.50943,0.005,0.173743
window 8,-0.00987487,7.34189,0.005,0.155471
window 9,0.00844033,7.46382,0.005,0.133208
window 10,0.0255732,7.31753,0.005,0.125362
window 11,0.00661533,7.30031,0.005,0.127703
window 12,0.0555915,7.16563,0.00611483,0.129411
window 13,-0.0546408,7.26339,0.005,0.154262
window 14,-0.0678502,7.32257,0.00539258,0.150851
window 15,0.0823873,7.26285,0.005,0.128112
window 16,0.0658593,7.3659,0.005,0.119023
window 17,-0.0191492,7.46237,0.00592533,0.13174
window 18,0.0913793,7.451,0.005,0.131323
window 19,0.0599136,7.63396,0.005,0.12739
window 20,-0.0123671,7.61211,0.005,0.124662
window 21,-0.00772485,7.60329,0.005,0.0984484
window 22,0.0563433,7.67343,0.005,0.120839
window 23,0.0227202,7.71377,0.005,0.124147
window 24,-0.0246438,7.59006,0.005,0.0976593
window 25,-0.0237974,7.5487,0.005,0.144237
window 26,0.0475238,7.4932,0.005,0.116078
window 27,0.0434275,7.51749,0.005,0.117491
window 28,-0.00681489,7.52284,0.0055026,0.113452
window 29,0.0152991,7.52424,0.005,0.110486
window 30,0.0477903,7.53577,0.005,0.110264
window 31,0.0312025,7.58612,0.005,0.123873
window 32,-0.0516662,7.48958,0.005,0.13479
window 33,0.0713462,7.28378,0.005,0.144823
window 34,-0.0206108,7.3554,0.005,0.141159
window 35,0.082375,7.44422,0.005,0.0952277
window 36,-0.0836261,7.42986,0.005,0.0969363
window 37,-0.011848,7.19901,0.005,0.105973
window 38,0.0674205,7.27564,0.00602864,0.113111
window 39,-0.0397409,7.28204,0.005,0.111355
window 40,5.61886e-05,7.30505,0.005,0.121816
window 41,-0.0515691,7.34864,0.00548556,0.127284
window 42,0.0841383,7.33268,0.005,0.107569
window 43,-0.028777,7.35152,0.00623026,0.0943578
window 44,-0.0740524,7.19942,0.005,0.115949
window 45,0.0910167,7.22277,0.005,0.12588
window 46,0.0357019,7.25513,0.005,0.111328
window 47,-0.0678392,7.26011,0.005,0.100447
window 48,0.0105275,7.07448,0.00508932,0.123556
window 49,-0.0111506,6.84458,0.005,0.0996248
window 50,0.0380707,6.87496,0.00652936,0.123131
window 51,0.0205842,6.85779,0.005,0.138547
window 52,0.00417661,6.84677,0.005,0.145128
window 53,0.0297029,7.10699,0.00510576,0.148096
window 54,0.00490026,7.13795,0.005,0.128715
window 55,-0.0212582,7.02578,0.005,0.126365
window 56,-0.0413907,7.15264,0.005,0.103909
window 57,-0.0213748,7.09319,0.00524907,0.0993576
window 58,0.0572446,7.19877,0.005,0.107088
window 59,0.0375259,7.27153,0.005,0.111786
window 60,0.0198639,7.28802,0.005,0.111786
window 61,0.0542931,7.30092,0.00517797,0.108451
window 62,0.0324291,7.29089,0.00575322,0.10684
