Window,Return,Omega,Min weight,Max weight
window 0,0.073449,18.6106,0.005,0.141845
window 1,0.0378834,18.5967,0.005,0.144264
window 2,0.0417531,18.2633,0.00553908,0.130312
window 3,0.0331385,18.2217,0.00560217,0.13022
window 4,-0.0109512,18.3195,0.00553908,0.130312
window 5,0.0567065,18.2451,0.00505412,0.130216
window 6,0.0249653,18.3526,0.00544318,0.130438
window 7,0.0392428,18.2856,0.005,0.128682
window 8,-0.00390596,18.1888,0.005,0.132637
window 9,0.0116206,19.1245,0.005,0.15184
window 10,0.016864,18.8079,0.00565451,0.15343
window 11,0.0113645,20.7168,0.005,0.217446
window 12,0.0346045,20.7611,0.005,0.159314
window 13,-0.0545165,20.7134,0.005,0.158884
window 14,-0.0793886,19.7291,0.005,0.128922
window 15,0.11613,19.1365,0.005,0.12516
window 16,0.0769129,19.4503,0.005,0.125725
window 17,-0.000605209,19.5443,0.005,0.126849
window 18,0.0768622,19.669,0.005,0.122632
window 19,0.0283054,19.4785,0.005,0.0968246
window 20,-0.00726036,19.5344,0.005,0.0979501
window 21,-0.0121156,19.4691,0.005,0.0978043
window 22,0.0492519,19.8271,0.005,0.109393
window 23,0.0186468,19.9844,0.005,0.106579
window 24,-0.0289868,19.7053,0.005,0.105338
window 25,-0.0423412,19.1561,0.0062521,0.104723
window 26,0.0493423,18.9866,0.005,0.13099
window 27,0.0350972,18.8729,0.005,0.129863
window 28,0.0127648,18.6135,0.005,0.112813
window 29,0.00741701,18.6568,0.005,0.110044
window 30,0.0485585,18.6406,0.005,0.109689
window 31,0.00842177,18.668,0.005,0.108902
window 32,-0.0508437,18.5016,0.005,0.132022
window 33,0.0563926,18.7265,0.005,0.117623
window 34,-0.00961211,18.8453,0.005,0.11746
window 35,0.0862746,19.2843,0.00738765,0.118171
window 36,-0.0692789,19.2617,0.005,0.121103
window 37,-0.0157746,18.8127,0.005,0.122706
window 38,0.0836174,19.153,0.005,0.140078
window 39,-0.0332806,19.1277,0.005,0.12243
window 40,0.0068107,20.6852,0.005,0.145933
window 41,-0.0407079,20.9451,0.005,0.111508
window 42,0.0441646,21.0307,0.005,0.191062
window 43,-0.023967,21.5273,0.00507354,0.193649
window 44,-0.0709873,21.8272,0.005,0.160624
window 45,0.0904849,21.574,0.005,0.193697
window 46,0.0452685,21.8113,0.005,0.174492
window 47,-0.0483904,21.0638,0.005,0.181709
window 48,-0.00143111,21.0347,0.005,0.220699
window 49,-0.0198996,20.918,0.005,0.212332
window 50,0.042171,20.1931,0.005,0.218781
window 51,0.0253023,20.2537,0.005,0.211024
window 52,-0.0207454,20.2336,0.005,0.228461
window 53,0.00499633,21.0435,0.005,0.233655
window 54,0.00420677,20.5669,0.005,0.244177
window 55,-0.0466594,19.8543,0.005,0.23458
window 56,-0.050876,19.092,0.00623477,0.15686
window 57,-0.00586375,18.9034,0.00623655,0.149637
window 58,0.0524652,19.3712,0.0051571,0.16097
window 59,0.0468741,19.4968,0.00502683,0.161453
window 60,0.00891924,19.6191,0.00503211,0.162059
window 61,0.0340371,19.62,0.005,0.162284
window 62,0.0400095,19.6742,0.005,0.180906
