Window,Return,Omega,Min weight,Max weight
window 0,0.0438837,130.468,0.005,0.127145
window 1,0.0330635,131.334,0.00511398,0.122578
window 2,0.0563176,132.246,0.00591616,0.128472
window 3,0.0187069,132.067,0.00882361,0.121653
window 4,-0.00965614,132.409,0.00591616,0.128472
window 5,0.0530014,131.932,0.00882361,0.121653
window 6,0.0160535,133.716,0.00709322,0.136225
window 7,0.0222912,133.971,0.00709322,0.136225
window 8,0.008641,133.765,0.00709322,0.136225
window 9,0.0274867,178.519,0.00634198,0.148671
window 10,0.0130198,179.425,0.00634198,0.148671
window 11,0.017462,133.963,0.00582742,0.268077
window 12,0.0235808,149.586,0.005,0.240145
window 13,-0.0692901,152.289,0.00543168,0.226101
window 14,-0.0950127,122.51,0.005,0.269939
window 15,0.135446,114.054,0.00559368,0.172435
window 16,0.0735415,115.624,0.005,0.165323
window 17,0.0122928,116.198,0.005,0.151535
window 18,0.071623,115.415,0.005,0.145551
window 19,0.0222032,115.717,0.005,0.151094
window 20,-0.00667538,115.91,0.005,0.146378
window 21,-0.00823207,115.854,0.005,0.146378
window 22,0.0707158,115.756,0.00650358,0.151533
window 23,0.0210527,116.534,0.005,0.146382
window 24,-0.00967644,116.702,0.005,0.147898
window 25,-0.0341832,121.249,0.00572328,0.157369
window 26,0.0433878,140.298,0.005,0.15166
window 27,0.0340452,140.101,0.005,0.15166
window 28,0.00127117,136.444,0.005,0.150482
window 29,0.0215642,136.406,0.005,0.150482
window 30,0.0350785,136.712,0.005,0.150482
window 31,0.00235422,137.581,0.005,0.150482
window 32,-0.0222645,137.905,0.005,0.150482
window 33,0.038631,144.946,0.005,0.152347
window 34,-0.00543941,144.835,0.005,0.152347
window 35,0.0976534,144.328,0.005,0.152347
window 36,-0.102029,146.054,0.005,0.152347
window 37,-0.0236738,116.15,0.005,0.139765
window 38,0.0776003,115.49,0.005,0.139055
window 39,-0.021057,114.135,0.005,0.13801
window 40,0.0160978,162.448,0.005,0.155976
window 41,-0.0415673,167.2,0.005,0.12816
window 42,0.0487441,167.438,0.005,0.159667
window 43,-0.0153707,163.785,0.005,0.163698
window 44,-0.0783762,153.973,0.005,0.142474
window 45,0.104084,150.54,0.005,0.210109
window 46,0.0449783,151.572,0.005,0.210109
window 47,-0.0484882,151.999,0.005,0.210109
window 48,0.004768,165.886,0.005,0.233307
window 49,-0.0164277,166.759,0.005,0.243584
window 50,0.0539761,176.439,0.005,0.227882
window 51,0.0168748,176.577,0.005,0.227882
window 52,-0.0243342,176.067,0.005,0.227882
window 53,0.00661132,177.399,0.005,0.228848
window 54,0.00122267,177.205,0.005,0.228848
window 55,-0.0367987,176.813,0.005,0.228839
window 56,-0.0539144,186.559,0.00713849,0.156941
window 57,-0.00891072,175.067,0.005,0.233684
window 58,0.036884,174.278,0.005,0.233684
window 59,0.0556372,175.073,0.005,0.233684
window 60,0.00690973,176.108,0.005,0.233684
window 61,0.0295242,175.844,0.005,0.233684
window 62,0.0523133,176.279,0.005,0.233684
