Window,Return,Omega,Min weight,Max weight
window 0,-0.034463,3.16927,0.00544914,0.172804
window 1,0.0302018,3.16377,0.005,0.183118
window 2,0.0520789,3.14692,0.005,0.200093
window 3,0.0348124,3.14166,0.005,0.1939
window 4,-0.0495237,3.14107,0.005,0.192946
window 5,-0.0186007,3.16846,0.005,0.219674
window 6,0.044707,3.17002,0.00494458,0.21355
window 7,-0.000591176,3.20387,0.005,0.212732
window 8,0.0810528,3.23332,0.005,0.215008
window 9,0.0265175,3.24776,0.005,0.219299
window 10,0.0152393,3.23463,0.005,0.220911
window 11,0.0585683,3.26927,0.005,0.224471
window 12,0.00268262,3.28618,0.005,0.22332
window 13,0.0343232,3.27403,0.005,0.209252
window 14,0.016221,3.27648,0.005,0.220405
window 15,0.0379556,3.3045,0.005,0.213472
window 16,0.00319208,3.32082,0.005,0.204051
window 17,-0.00456469,3.29977,0.005,0.210474
window 18,-0.0413193,3.30516,0.005,0.219505
window 19,-0.00138179,3.28148,0.005,0.237825
window 20,-0.0404964,3.28988,0.005,0.214873
window 21,0.0702442,3.31863,0.005,0.240561
window 22,-0.00398142,3.29032,0.005,0.229433
window 23,0.00432177,3.29133,0.00515631,0.233324
window 24,0.0535182,3.32831,0.00514158,0.234043
window 25,0.00831876,3.29514,0.005,0.228635
window 26,0.0343512,3.28707,0.005,0.226047
window 27,0.0269177,3.31673,0.00590615,0.230771
window 28,-0.0382408,3.31097,0.005,0.217518
window 29,0.0436191,3.30738,0.005,0.194275
window 30,0.00497305,3.25423,0.005,0.201562
window 31,-0.00186621,3.24611,0.005,0.207688
window 32,0.013465,3.24629,0.005,0.194915
window 33,-0.0349191,3.29606,0.005,0.194247
window 34,0.0156094,3.24307,0.0063783,0.217114
window 35,0.0127131,3.25525,0.005,0.199785
window 36,0.0548388,3.27177,0.005,0.204732
window 37,0.0179146,3.25804,0.005,0.202113
window 38,0.0383862,3.24772,0.005,0.199827
window 39,0.029028,3.26123,0.005,0.184989
window 40,-0.0122605,3.26804,0.00512812,0.193397
window 41,-0.00588439,3.26255,0.005,0.13909
window 42,0.0570649,3.31239,0.00774891,0.132063
window 43,-0.0203622,3.31903,0.005,0.127353
window 44,0.0422708,3.35251,0.00525268,0.117267
window 45,0.0488813,3.36812,0.005,0.114619
window 46,0.0276941,3.3687,0.00699145,0.12583
window 47,0.0114625,3.39894,0.0127916,0.117456
window 48,-0.00978886,3.40022,0.005,0.117612
window 49,0.0494864,3.37337,0.00998873,0.128294
window 50,-0.0208478,3.37823,0.00687608,0.148667
window 51,-0.0186002,3.34462,0.005,0.153972
window 52,0.0296326,3.31155,0.0109222,0.140816
window 53,0.0163735,3.30953,0.00568554,0.136347
window 54,-0.0290623,3.3066,0.005,0.136491
window 55,0.0702853,3.32623,0.005,0.146141
window 56,-0.00377031,3.33302,0.00786455,0.121588
window 57,0.0479761,3.39132,0.005,0.116441
window 58,0.0346289,3.36784,0.005,0.0976943
window 59,-0.0102444,3.37585,0.00635453,0.104386
window 60,0.0445546,3.35872,0.005,0.128335
window 61,0.0460577,3.37419,0.00889922,0.125824
window 62,-0.0171365,3.37938,0.00692542,0.144643
window 63,-0.0142385,3.34012,0.005,0.109596
window 64,0.0232565,3.36223,0.00581133,0.127976
window 65,0.00299511,3.37677,0.00607378,0.121241
