Window,Return,Omega,Min weight,Max weight
window 0,0.173451,1.13879,0.0969945,0.517474
window 1,0.0455154,1.14037,0.088055,0.477521
window 2,-0.0661677,1.14295,0.078126,0.479179
window 3,-0.0548571,1.13078,0.0398305,0.551412
window 4,-0.0781663,1.1145,0.0798408,0.465372
window 5,0.0278625,1.12205,0.190893,0.338777
window 6,-0.0211712,1.11164,0.0406718,0.360076
window 7,-0.0935196,1.12615,0.234528,0.258428
window 8,-0.0417584,1.11417,0.063992,0.379794
window 9,0.0156386,1.12007,0.0261567,0.352344
window 10,0.171393,1.13533,0.110208,0.424192
window 11,0.0245333,1.12279,0.11114,0.342205
window 12,0.0323866,1.12279,0.138882,0.325708
window 13,7.87E-05,1.13512,0.283112,0.363795
window 14,-0.0550822,1.13334,0.260776,0.411771
window 15,0.0802642,1.13194,0.241071,0.393383
window 16,0.0551186,1.13084,0.24308,0.409804
window 17,0.104731,1.13166,0.306617,0.35866
window 18,-0.00862688,1.13331,0.237301,0.425585
window 19,0.0614878,1.13058,0.232352,0.41899
window 20,-0.0136944,1.13049,0.185517,0.466259
window 21,0.0105035,1.13148,0.162736,0.421204
window 22,0.147346,1.12957,0.303855,0.387896
window 23,0.0388168,1.11431,0.0499386,0.479455
window 24,0.122434,1.13368,0.256984,0.421183
window 25,0.00986079,1.1371,0.261028,0.456703
window 26,-0.0626149,1.1366,0.261831,0.456391
window 27,0.0438527,1.13479,0.261378,0.411809
window 28,-0.0448271,1.13309,0.237075,0.409868
window 29,0.109332,1.13452,0.254736,0.414333
window 30,0.0288833,1.13791,0.196767,0.534851
window 31,0.0299922,1.13583,0.280227,0.42157
window 32,-0.0223624,1.12086,0.0809137,0.368252
window 33,0.0471897,1.13148,0.252131,0.388415
window 34,-0.0550614,1.12979,0.233998,0.515917
window 35,-0.01536,1.1295,0.231379,0.533547
window 36,-0.182601,1.12417,0.154248,0.431863
window 37,-0.0408914,1.12813,0.151017,0.475632
window 38,-0.0472593,1.12803,0.142078,0.488028
window 39,-0.166808,1.12896,0.139939,0.500081
window 40,0.0166406,1.13423,0.143142,0.688057
window 41,-0.00752026,1.13777,0.143971,0.645653
window 42,0.130063,1.13159,0.0935291,0.576583
window 43,-0.0481381,1.1367,0.134383,0.588008
window 44,0.00268387,1.13411,0.257605,0.388963
window 45,0.189613,1.13236,0.0741701,0.440148
window 46,0.16264,1.13777,0.262118,0.469282
window 47,-0.0667412,1.13951,0.210508,0.575898
window 48,0.139743,1.13485,0.168705,0.557329
window 49,0.000685496,1.1335,0.117411,0.654264
window 50,0.104864,1.13323,0.0611248,0.699686
window 51,-0.0031428,1.13085,0.0817882,0.584384
window 52,0.0234627,1.13614,0.0957347,0.616353
window 53,0.00303305,1.14026,0.131751,0.696556
window 54,-0.00357107,1.12132,0.0714879,0.694238
window 55,0.00471236,1.1064,0.136352,0.699633
window 56,-0.0926041,1.10309,0.120649,0.667242
window 57,-0.0423046,1.10478,0.267936,0.732064
window 58,0.103373,1.09594,0.116026,0.650937
window 59,0.0459453,1.0983,0.0125863,0.679195
window 60,0.0334004,1.09505,0.00618546,0.716919
window 61,0.202917,1.08092,0.00992357,0.608611
window 62,0.109737,1.07815,0.0235302,0.766391
,0.02094181,,,
