Window,Return,Omega,Min weight,Max weight
window 0,-0.020346,135.352,0.005,0.150019
window 1,0.0284973,145.572,0.00889464,0.146563
window 2,0.028779,145.388,0.00889464,0.146563
window 3,0.0340857,146.201,0.00889464,0.146563
window 4,-0.0352947,143.239,0.005,0.127467
window 5,0.0235854,166.17,0.005,0.158256
window 6,0.0288063,166.146,0.005,0.158256
window 7,0.00909844,165.994,0.005,0.143228
window 8,0.068844,166.162,0.005,0.143194
window 9,0.0179119,167.218,0.005,0.143194
window 10,-0.00204194,166.566,0.005,0.143194
window 11,0.0608135,166.043,0.005,0.143194
window 12,0.00830017,167.059,0.005,0.147091
window 13,0.0356096,166.099,0.005,0.147091
window 14,0.0192004,165.972,0.005,0.147091
window 15,0.0317785,166.537,0.005,0.147091
window 16,0.0160325,166.683,0.005,0.147091
window 17,-0.0132,167.063,0.005,0.147091
window 18,-0.036586,165.992,0.005,0.147091
window 19,0.014644,181.674,0.005,0.167453
window 20,-0.0167065,181.869,0.005,0.167453
window 21,0.0481293,181.513,0.005,0.167453
window 22,-0.008518,182.374,0.005,0.167453
window 23,0.0244439,180.588,0.005,0.167453
window 24,0.0425965,181.011,0.005,0.167453
window 25,-0.00974518,181.786,0.005,0.167453
window 26,0.0159737,181.712,0.005,0.167444
window 27,0.0385098,181.862,0.005,0.167444
window 28,-0.0130087,182.319,0.005,0.167444
window 29,0.0584404,181.909,0.005,0.167444
window 30,0.00757818,177.98,0.005,0.166626
window 31,-0.000451944,178.246,0.005,0.166626
window 32,0.0243307,178.038,0.005,0.166626
window 33,-0.0330433,178.419,0.005,0.166626
window 34,-0.00133111,177.362,0.005,0.17375
window 35,-0.00646643,177.062,0.005,0.17375
window 36,0.0477583,177.187,0.005,0.17375
window 37,0.021136,177.323,0.005,0.17375
window 38,0.0332877,176.862,0.005,0.17375
window 39,-0.0257313,176.547,0.005,0.174244
window 40,-0.00617721,175.672,0.005,0.174244
window 41,-0.00157793,175.345,0.005,0.174244
window 42,0.0480507,166.605,0.005,0.1595
window 43,-0.0254459,166.675,0.005,0.1595
window 44,0.00754865,183.47,0.005,0.154211
window 45,0.0227042,183.152,0.005,0.154211
window 46,0.00983913,184.15,0.005,0.151147
window 47,0.0050786,183.997,0.005,0.151147
window 48,-0.018663,184.317,0.005,0.151147
window 49,0.0474033,184.441,0.005,0.151147
window 50,0.0219888,192.264,0.005,0.198144
window 51,0.00764957,192.865,0.005,0.198144
window 52,0.00746875,192.757,0.005,0.198144
window 53,0.0120215,193.165,0.005,0.198144
window 54,-0.0183427,193.285,0.005,0.198144
window 55,0.0592952,195.886,0.005,0.199628
window 56,-0.0210328,197.162,0.005,0.199628
window 57,0.0499792,182.435,0.005,0.196311
window 58,0.030228,183.423,0.005,0.196311
window 59,0.00974295,183.912,0.005,0.196311
window 60,0.0105589,183.899,0.005,0.196311
window 61,0.00740164,183.592,0.005,0.196597
window 62,0.00826766,183.567,0.005,0.196597
window 63,-0.00765013,183.549,0.005,0.196597
window 64,0.0103894,183.057,0.005,0.196488
window 65,-0.0136831,182.897,0.005,0.196197
