Window,Return,Omega,Min weight,Max weight
window 0,-0.0370614,1.33595,0.0332984,0.334624
window 1,0.0325526,1.33328,0.0728684,0.337585
window 2,0.089477,1.31522,0.0165917,0.299143
window 3,0.0310021,1.31895,0.0161759,0.292869
window 4,-0.0984395,1.3249,0.00895287,0.297046
window 5,-0.0961505,1.32693,0.0222675,0.227756
window 6,0.069528,1.3226,0.0403046,0.246632
window 7,-0.031968,1.32133,0.00770947,0.25528
window 8,0.146575,1.32691,0.0122794,0.251169
window 9,0.0735763,1.32486,0.00526769,0.315497
window 10,0.0359165,1.32414,0.00618886,0.295032
window 11,-0.0168613,1.33016,0.00615569,0.287863
window 12,0.0251326,1.35001,0.0221285,0.262269
window 13,0.0166806,1.34432,0.00868127,0.388539
window 14,0.026154,1.3392,0.0154867,0.293384
window 15,0.0843801,1.35904,0.0116501,0.39561
window 16,0.0433022,1.36282,0.00761769,0.446734
window 17,0.048614,1.37064,0.0118453,0.391522
window 18,-0.0249451,1.3735,0.0112178,0.38214
window 19,0.02408,1.38382,0.0123914,0.357948
window 20,-0.0132826,1.39787,0.0133709,0.392694
window 21,0.0305221,1.40396,0.00879601,0.454102
window 22,-0.0102357,1.38689,0.00916448,0.329367
window 23,-0.0358935,1.37876,0.0211353,0.377043
window 24,0.139315,1.39939,0.0142147,0.439529
window 25,0.0424179,1.38993,0.0124543,0.367159
window 26,0.0928764,1.38972,0.0114208,0.346105
window 27,0.0638643,1.40231,0.0129453,0.387851
window 28,0.025717,1.41899,0.0161901,0.481854
window 29,-0.00537314,1.43405,0.0120497,0.524887
window 30,-0.00138691,1.39916,0.0115313,0.361509
window 31,-0.000259847,1.4015,0.0121551,0.338659
window 32,-0.0105989,1.399,0.0103805,0.294125
window 33,-0.0975927,1.41583,0.0114165,0.303508
window 34,0.102043,1.39734,0.00840378,0.284984
window 35,0.00334049,1.40934,0.00887699,0.304745
window 36,0.0194361,1.40647,0.00671995,0.254322
window 37,0.0170274,1.40704,0.00742179,0.259476
window 38,0.0254605,1.40073,0.00630612,0.266204
window 39,0.0778423,1.40283,0.0073576,0.282578
window 40,0.0408544,1.40048,0.00800451,0.313821
window 41,0.00548537,1.39447,0.0397152,0.286398
window 42,0.0589248,1.394,0.00585928,0.29859
window 43,-0.0532148,1.40977,0.00790326,0.300481
window 44,0.0800707,1.40352,0.0268462,0.30412
window 45,0.0584865,1.40747,0.063315,0.288278
window 46,0.0810426,1.41658,0.0148022,0.27987
window 47,0.0379331,1.4102,0.00804207,0.297998
window 48,0.0008803,1.41598,0.00852468,0.326136
window 49,0.0772242,1.40693,0.00829734,0.316184
window 50,-0.0775216,1.41159,0.00638102,0.270747
window 51,-0.0520918,1.4087,0.0377024,0.266236
window 52,0.0495786,1.41679,0.00611421,0.281058
window 53,-0.0056538,1.41425,0.00540946,0.300791
window 54,0.00495907,1.41629,0.0243362,0.269154
window 55,0.136863,1.41883,0.005,0.297824
window 56,-0.00526181,1.41148,0.005,0.318782
window 57,0.0407365,1.42397,0.00873209,0.336604
window 58,0.059056,1.42758,0.00730383,0.37511
window 59,0.000667674,1.43696,0.00904287,0.349063
window 60,0.095577,1.42128,0.0097497,0.417529
window 61,0.113816,1.42312,0.0096732,0.397849
window 62,0.00591945,1.42465,0.0102676,0.444833
window 63,-0.0131148,1.42745,0.0106125,0.448191
window 64,0.0011074,1.43519,0.02429,0.461458
window 65,0.0277015,1.43235,0.0303403,0.456062
