Window,Return,Omega,Min weight,Max weight
window 0,0.0462433,279.304,0.000464553,0.139487
window 1,0.0379564,281.246,0.00176717,0.139147
window 2,0.0440755,281.748,0.00200018,0.146336
window 3,0.0258969,281.652,0.00200018,0.146336
window 4,-0.0133073,282.302,0.00200018,0.146336
window 5,0.0498557,280.786,0.00200018,0.146336
window 6,0.0103362,282.686,0.00200018,0.146336
window 7,0.0189047,283.31,0.00200018,0.146336
window 8,0.0270803,282.826,0.00200018,0.146336
window 9,0.0260296,294.299,0.00104772,0.153498
window 10,0.00697532,295.623,0.00104772,0.153498
window 11,0.0175972,307.249,0.00167904,0.233972
window 12,0.0169744,350.79,0.00362205,0.190045
window 13,-0.0785544,358.586,0.000772062,0.186251
window 14,-0.0970267,255.802,0.000447885,0.275116
window 15,0.111788,245.949,0.000489103,0.179205
window 16,0.0827429,248.684,0.00328899,0.140552
window 17,0.0176881,250.025,0.00281019,0.137118
window 18,0.078286,250.65,0.00281019,0.137118
window 19,0.0256607,252.675,0.000636208,0.140004
window 20,-0.00781532,253.086,7.80809e-05,0.145608
window 21,-0.0101264,252.874,0.00281019,0.137118
window 22,0.0683075,252.592,0.00281019,0.137118
window 23,0.0211219,254.449,0.00281019,0.137118
window 24,-0.0183164,255.094,0.00281019,0.137118
window 25,-0.0421748,258.071,2.88782e-05,0.136805
window 26,0.0446231,285.051,0.001698,0.168037
window 27,0.0347249,284.158,0.00263258,0.166164
window 28,-0.008064,284.959,0.001698,0.168037
window 29,0.023347,284.659,0.001698,0.168037
window 30,0.0432782,285.107,0.001698,0.168037
window 31,0.00389739,286.818,0.001698,0.168037
window 32,-0.0273568,287.431,0.001698,0.168037
window 33,0.043076,288.653,0.00134195,0.166322
window 34,-0.00190777,288.478,0.00134195,0.166322
window 35,0.0944013,287.838,0.00134195,0.166322
window 36,-0.106234,290.842,0.00134195,0.166322
window 37,-0.0236035,267.465,0.00156125,0.175329
window 38,0.0740278,265.266,0.0016045,0.174471
window 39,-0.00996426,260.135,2.14091e-05,0.174454
window 40,0.0142805,354.664,0.000635893,0.153145
window 41,-0.0467744,413.057,7.69786e-05,0.123143
window 42,0.0484935,358.823,0.00100547,0.173596
window 43,-0.0189395,359.316,0.000835939,0.173014
window 44,-0.0819071,367.287,0.00178241,0.170098
window 45,0.0953296,333.419,0.00454753,0.233714
window 46,0.0495504,335.179,0.00123777,0.226299
window 47,-0.0457538,336.413,0.00123777,0.226299
window 48,0.00344543,413.63,1.68948e-05,0.202489
window 49,-0.0100811,414.754,1.68948e-05,0.202489
window 50,0.0536142,494.024,0.000323848,0.197858
window 51,0.00810333,494.861,0.000323848,0.197858
window 52,-0.0135407,493.335,0.00237413,0.198879
window 53,0.00610989,491.99,0.00237413,0.198879
window 54,0.000631319,491.714,0.000323848,0.197858
window 55,-0.0427152,490.64,0.000323848,0.197858
window 56,-0.057381,537.875,0.00558825,0.164213
window 57,-0.0187309,404.775,0.00137872,0.200342
window 58,0.0315409,402.95,0.00137872,0.200342
window 59,0.063552,404.56,0.00137872,0.200342
window 60,0.0142974,406.925,0.00137872,0.200342
window 61,0.0382251,406.557,0.00137872,0.200342
window 62,0.0470117,408.132,0.00137872,0.200342
