Window,Return,Omega,Min weight,Max weight
window 0,0.0562494,4313.96,0.005,0.107545
window 1,0.0479024,4343.77,0.005,0.107545
window 2,0.0524107,4263.99,0.005,0.111539
window 3,0.0284105,4263.29,0.005,0.111539
window 4,-0.0215844,4274.04,0.00501082,0.111537
window 5,0.0574846,4251.04,0.005,0.111539
window 6,0.0130275,4274.51,0.005,0.111539
window 7,0.0239115,4283.55,0.005,0.111539
window 8,0.0175562,4281.21,0.005,0.111952
window 9,0.0152927,3772.66,0.005,0.114154
window 10,0.0013618,3785.35,0.005,0.114154
window 11,0.0206914,2641.25,0.00573418,0.146646
window 12,0.0255155,2947.59,0.005,0.129184
window 13,-0.0831456,3072.31,0.005,0.123872
window 14,-0.0856647,2949.71,0.005,0.149653
window 15,0.107593,3970.25,0.005,0.111045
window 16,0.0932217,3527.67,0.005,0.127467
window 17,0.024897,3549.95,0.005,0.127467
window 18,0.0822259,3561.91,0.005,0.127467
window 19,0.0245083,3590.76,0.005,0.127467
window 20,-0.00549798,3596.1,0.005,0.127467
window 21,-0.00935377,3584.05,0.005,0.127467
window 22,0.0593078,3577.28,0.005,0.127467
window 23,0.0100815,3597.09,0.005,0.127467
window 24,-0.0177424,3598.85,0.005,0.127467
window 25,-0.0374271,3596.73,0.005,0.127467
window 26,0.0589425,3549.52,0.005,0.12931
window 27,0.0304381,3556.16,0.005,0.12931
window 28,-0.0140003,3551.59,0.005,0.12931
window 29,0.0257432,3547.1,0.005,0.12931
window 30,0.0471623,3546.03,0.005,0.12931
window 31,0.0104338,3557.97,0.005,0.12931
window 32,-0.0276855,3568.09,0.005,0.12931
window 33,0.0478688,3558.05,0.005,0.12931
window 34,0.00286719,3559.43,0.005,0.12931
window 35,0.0932986,3554.65,0.005,0.12931
window 36,-0.0932201,3582.07,0.005,0.12931
window 37,-0.0163014,3426.34,0.00812203,0.137069
window 38,0.0745849,3409.51,0.00812203,0.137069
window 39,-0.0280207,3433.74,0.00812203,0.137069
window 40,0.0194834,2651.42,0.005,0.13605
window 41,-0.0244096,2416.04,0.005,0.134152
window 42,0.0408498,2383.43,0.005,0.139692
window 43,-0.0227138,2369.51,0.005,0.139606
window 44,-0.0867018,2362.9,0.005,0.147144
window 45,0.102948,2445.63,0.00517398,0.174137
window 46,0.0430256,2467.14,0.00517398,0.174137
window 47,-0.0400614,2479.74,0.00517398,0.174137
window 48,-0.00294311,2621.31,0.005,0.126949
window 49,-0.0044018,2625.43,0.0058396,0.1451
window 50,0.0491054,2805.14,0.005,0.140301
window 51,0.0114778,2811.24,0.00533584,0.153211
window 52,-0.0163488,2799.73,0.005,0.140301
window 53,0.00577376,2793.39,0.005,0.140301
window 54,0.0124314,2792.73,0.00778498,0.150511
window 55,-0.0436205,2791.29,0.00778498,0.150511
window 56,-0.0641184,2851.39,0.00639751,0.124053
window 57,-0.0194375,3117.04,0.005,0.137405
window 58,0.0247812,3109.22,0.005,0.137405
window 59,0.0689057,3116.93,0.005,0.137405
window 60,0.0251327,3135.17,0.005,0.137405
window 61,0.0496715,3135.67,0.005,0.137405
window 62,0.0431211,3152.92,0.005,0.137405
