Window,Return,Omega,Min weight,Max weight
window 0,0.134856,1.80166,0.005,0.262892
window 1,0.0554079,1.79086,0.005,0.299433
window 2,-0.0486538,1.80563,0.0110635,0.342761
window 3,0.0336043,1.80191,0.0070556,0.221378
window 4,-0.0384614,1.79201,0.00929216,0.252526
window 5,0.0423701,1.80165,0.005,0.278001
window 6,0.0090221,1.79785,0.005,0.25145
window 7,-0.0600767,1.81244,0.00749771,0.256511
window 8,-0.0147329,1.79181,0.005,0.235854
window 9,0.025988,1.7926,0.005,0.273521
window 10,0.115486,1.80829,0.00642104,0.265568
window 11,-8.55804e-05,1.8035,0.0150609,0.271411
window 12,0.0199237,1.7926,0.005,0.28081
window 13,-0.0277491,1.77893,0.0192243,0.307638
window 14,-0.073119,1.80716,0.005,0.26305
window 15,0.098231,1.81782,0.005628,0.269142
window 16,0.110058,1.81922,0.005,0.314261
window 17,0.0216555,1.80671,0.00626134,0.311738
window 18,0.0744766,1.80066,0.00626356,0.321999
window 19,0.0574101,1.76766,0.00756414,0.322289
window 20,-0.052423,1.72937,0.00522136,0.318143
window 21,-0.0194176,1.73245,0.00513622,0.274734
window 22,0.105568,1.74089,0.005,0.343465
window 23,0.0612198,1.73259,0.0635623,0.341984
window 24,0.00650057,1.72341,0.0105698,0.369123
window 25,0.017279,1.7153,0.0529343,0.34977
window 26,0.0122324,1.73499,0.00857568,0.378803
window 27,0.0538752,1.75264,0.0470161,0.39734
window 28,-0.0237447,1.74711,0.0140631,0.403432
window 29,0.0288916,1.75229,0.00984429,0.396636
window 30,0.0367898,1.73538,0.011234,0.399017
window 31,0.0464497,1.72636,0.0244812,0.387778
window 32,-0.0421476,1.71999,0.0222124,0.361804
window 33,0.0511959,1.72571,0.0103006,0.353734
window 34,-0.00115034,1.72085,0.0209095,0.365407
window 35,0.0418995,1.72052,0.0111613,0.356082
window 36,-0.133758,1.72841,0.0115124,0.380969
window 37,-0.0205957,1.71426,0.00839078,0.331257
window 38,-0.0275562,1.72499,0.00783352,0.305121
window 39,-0.0934444,1.71251,0.005,0.295731
window 40,-0.0174963,1.75139,0.005,0.266357
window 41,-0.0284733,1.7494,0.0182984,0.310525
window 42,0.158229,1.74544,0.00955652,0.299624
window 43,-0.0539626,1.75024,0.0123284,0.295134
window 44,-0.0593904,1.75133,0.005,0.25691
window 45,0.0712223,1.79899,0.00736691,0.321309
window 46,0.0794004,1.75858,0.0116408,0.273915
window 47,-0.0678494,1.78808,0.005,0.274822
window 48,0.0765965,1.78556,0.00778916,0.276405
window 49,-0.0328911,1.76271,0.00510412,0.255398
window 50,0.0781455,1.74285,0.0427759,0.279912
window 51,-0.00815,1.74212,0.005,0.322642
window 52,0.0452714,1.72331,0.005,0.358492
window 53,0.0381454,1.71615,0.00735667,0.363608
window 54,-0.00611251,1.70412,0.005,0.344694
window 55,-0.00462051,1.69701,0.00578415,0.299752
window 56,-0.0797034,1.69724,0.0205007,0.304576
window 57,-0.0562404,1.68553,0.00627492,0.267562
window 58,0.101205,1.67066,0.00908223,0.284232
window 59,0.0607163,1.67473,0.028218,0.273746
window 60,-0.0550654,1.68699,0.0249297,0.294959
window 61,0.0439672,1.65862,0.0140589,0.25119
window 62,0.0101939,1.65008,0.0117271,0.243893
