Window,Return,Omega,Min weight,Max weight
window 0,0.0914573,3.54314,0.005,0.215387
window 1,0.011891,3.56503,0.005,0.194391
window 2,0.0351357,3.51939,0.005,0.215817
window 3,0.0244629,3.51895,0.00550007,0.240125
window 4,-0.0272358,3.52024,0.005,0.245409
window 5,0.0422539,3.55116,0.005,0.253365
window 6,0.00447119,3.54769,0.005,0.255629
window 7,-0.0101218,3.53189,0.005,0.260718
window 8,-0.0179051,3.46423,0.005,0.170526
window 9,0.0286579,3.52098,0.005,0.171494
window 10,0.0506881,3.46688,0.005,0.152311
window 11,-0.0030163,3.45196,0.00530529,0.207859
window 12,0.0383634,3.42724,0.005,0.102162
window 13,-0.0464025,3.43213,0.005,0.0918202
window 14,-0.0921512,3.43646,0.005,0.126595
window 15,0.0944453,3.45838,0.005,0.148599
window 16,0.084011,3.51691,0.005,0.143531
window 17,-0.0117229,3.5432,0.005,0.150753
window 18,0.0989235,3.5199,0.005,0.215986
window 19,0.0756389,3.5989,0.005,0.208253
window 20,-0.0423634,3.55856,0.005,0.205747
window 21,-0.00621637,3.48076,0.00638904,0.194282
window 22,0.0870866,3.50617,0.005,0.176064
window 23,0.0375955,3.53793,0.005,0.177784
window 24,-0.0196324,3.5464,0.00773198,0.231616
window 25,-0.00473755,3.5645,0.00530282,0.14631
window 26,0.0287976,3.56404,0.005,0.140533
window 27,0.046819,3.58339,0.0102526,0.174935
window 28,-0.0249682,3.56681,0.00692564,0.175257
window 29,0.0235333,3.54604,0.005,0.257171
window 30,0.0362577,3.52079,0.005,0.189744
window 31,0.0341169,3.49701,0.00583915,0.227258
window 32,-0.0388037,3.5055,0.005,0.137678
window 33,0.0868853,3.48298,0.0101228,0.179045
window 34,-0.0281494,3.5098,0.00777038,0.215884
window 35,0.0534546,3.50393,0.00622798,0.179609
window 36,-0.0730089,3.47547,0.00758818,0.195245
window 37,-0.0114513,3.50294,0.005,0.255743
window 38,0.016397,3.49639,0.00980649,0.279552
window 39,-0.0626335,3.48122,0.0122515,0.265687
window 40,-0.0284036,3.4558,0.005,0.226567
window 41,-0.0381358,3.39516,0.005,0.196558
window 42,0.146872,3.44897,0.005,0.217189
window 43,-0.0568649,3.4802,0.005,0.228174
window 44,-0.0737159,3.43842,0.00579881,0.154059
window 45,0.0742413,3.44833,0.005,0.156051
window 46,0.0336696,3.41996,0.00765328,0.203784
window 47,-0.0908843,3.45012,0.00713051,0.192184
window 48,0.0308608,3.41484,0.005,0.193434
window 49,-0.0198463,3.37035,0.00785685,0.157582
window 50,0.05191,3.35999,0.005,0.192232
window 51,-0.0153248,3.34828,0.00541086,0.207794
window 52,-0.0103968,3.31452,0.005,0.174684
window 53,0.067726,3.32323,0.005,0.14538
window 54,0.0188255,3.29718,0.005,0.14916
window 55,-0.0149927,3.30539,0.00797531,0.228384
window 56,-0.0532128,3.34434,0.00619629,0.147444
window 57,-0.037303,3.33461,0.005,0.167509
window 58,0.0725047,3.33487,0.005,0.162702
window 59,0.0366551,3.34037,0.005,0.164827
window 60,-0.0113318,3.34554,0.005,0.176126
window 61,0.0527805,3.32188,0.005,0.164582
window 62,0.0176472,3.30248,0.005,0.165729
