Window,Return,Omega,Min weight,Max weight
window 0,0.0564788,4317.33,0.00191744,0.109129
window 1,0.049676,4346.63,0.00191744,0.109129
window 2,0.0515655,4267,0.0014564,0.111699
window 3,0.0278693,4268.81,0.000535822,0.111769
window 4,-0.0198701,4278.94,0.00120268,0.111734
window 5,0.0564991,4257.65,0.00120268,0.111734
window 6,0.0110998,4282.45,0.00120268,0.111734
window 7,0.0238437,4290.25,0.00120268,0.111734
window 8,0.0147275,4287.56,0.00120268,0.111734
window 9,0.0156052,3781.29,0.0017129,0.114066
window 10,0.00275905,3793.66,0.000568944,0.114057
window 11,0.0213565,2652.4,0.00186281,0.145872
window 12,0.0261799,2960.59,8.87E-05,0.128157
window 13,-0.0823994,3082.6,0.00289578,0.12374
window 14,-0.0871561,2965.73,0.00291586,0.148534
window 15,0.107495,3970.27,0.00486477,0.111062
window 16,0.0926336,3531.69,8.31E-05,0.127085
window 17,0.024105,3554.87,5.21E-05,0.127081
window 18,0.0824262,3566.05,8.31E-05,0.127085
window 19,0.0253345,3594.82,8.53E-05,0.127086
window 20,-0.00621443,3600.56,8.53E-05,0.127086
window 21,-0.00942396,3589.01,8.53E-05,0.127086
window 22,0.0603353,3581.18,8.53E-05,0.127086
window 23,0.0100211,3601.56,8.53E-05,0.127086
window 24,-0.0175933,3603.6,8.53E-05,0.127086
window 25,-0.0369714,3600.86,8.53E-05,0.127086
window 26,0.0586303,3554.85,1.40E-05,0.129156
window 27,0.0303205,3561.69,0.00033484,0.129159
window 28,-0.0146883,3556.88,0.00033484,0.129159
window 29,0.0256882,3552.31,0.00033484,0.129159
window 30,0.0470689,3551.38,0.00189295,0.129103
window 31,0.00859404,3563.57,0.00189295,0.129103
window 32,-0.0285642,3573.84,0.00189295,0.129103
window 33,0.0504004,3564.45,0.00141932,0.129238
window 34,0.000631248,3567.31,0.000111422,0.129328
window 35,0.0919095,3561.7,5.45E-05,0.129304
window 36,-0.0971096,3590.02,5.45E-05,0.129304
window 37,-0.0151667,3429.05,0.0019678,0.136965
window 38,0.0762105,3412.34,0.0019678,0.136965
window 39,-0.0289662,3436.34,0.0019678,0.136965
window 40,0.019127,2653.16,0.00404862,0.135719
window 41,-0.0269681,2430.12,0.000135854,0.1339
window 42,0.0420788,2391.95,0.00214905,0.141563
window 43,-0.0229823,2375.06,0.00177456,0.138004
window 44,-0.0849658,2364.76,0.00128393,0.142108
window 45,0.101722,2446.82,0.000927878,0.175793
window 46,0.0443091,2467.77,0.000927878,0.175793
window 47,-0.040146,2480.55,0.000927878,0.175793
window 48,-0.00280818,2622.57,0.00434416,0.124337
window 49,-0.00425122,2625.98,0.000630329,0.14283
window 50,0.049813,2811.89,0.00371305,0.141208
window 51,0.0133965,2816.93,0.00371305,0.141208
window 52,-0.0162234,2806.31,0.00371305,0.141208
window 53,0.00579243,2799.94,0.00371305,0.141208
window 54,0.0112706,2799.24,0.00371305,0.141208
window 55,-0.043783,2796.75,0.00371305,0.141208
window 56,-0.0636885,2852.07,0.000372351,0.12387
window 57,-0.0219986,3122.66,0.00121682,0.135542
window 58,0.0239804,3113.93,0.00311698,0.134933
window 59,0.0704645,3121.4,0.00311698,0.134933
window 60,0.0240906,3140.63,0.00164708,0.137031
window 61,0.051255,3140.51,0.00311698,0.134933
window 62,0.0413383,3158.37,0.00311698,0.134933
,0.013907366,,,
