Window,Return,Omega,Min weight,Max weight
window 0,0.157596,1.44022,0.084102,0.341543
window 1,0.0714511,1.44598,0.0567831,0.431585
window 2,-0.0618385,1.45101,0.0366623,0.421016
window 3,0.0289384,1.43079,0.0741602,0.315156
window 4,-0.039921,1.42748,0.093643,0.38522
window 5,0.0382938,1.43801,0.0533406,0.416406
window 6,-0.0068884,1.4232,0.0604792,0.396879
window 7,-0.0917363,1.43273,0.00761526,0.436874
window 8,-0.0354659,1.42646,0.00658203,0.397237
window 9,0.00766423,1.43422,0.0255148,0.445336
window 10,0.143992,1.43261,0.0250507,0.419537
window 11,0.0299644,1.42536,0.0162275,0.423548
window 12,0.0335572,1.42281,0.0110727,0.405713
window 13,-0.0237376,1.42523,0.102085,0.483442
window 14,-0.0581798,1.43672,0.0113719,0.451664
window 15,0.0915207,1.43835,0.0808415,0.448526
window 16,0.108862,1.4401,0.00883116,0.449262
window 17,0.0446937,1.43636,0.135271,0.488326
window 18,0.0568756,1.43383,0.121244,0.448142
window 19,0.0718149,1.42898,0.15724,0.435681
window 20,-0.0317506,1.3959,0.0876047,0.431277
window 21,-0.0184684,1.39064,0.111945,0.39905
window 22,0.124671,1.40051,0.0222349,0.44415
window 23,0.071241,1.39052,0.0974609,0.362027
window 24,0.0479646,1.38418,0.036097,0.414746
window 25,0.00336517,1.39189,0.0174771,0.418577
window 26,-0.0304169,1.39058,0.0245659,0.430364
window 27,0.0464516,1.40018,0.019399,0.50033
window 28,-0.0372992,1.40312,0.0196433,0.554718
window 29,0.0346203,1.40855,0.121205,0.513025
window 30,0.0286236,1.40055,0.0574758,0.43602
window 31,0.0351738,1.3897,0.09714,0.480393
window 32,-0.0419132,1.38496,0.0396766,0.418985
window 33,0.0282003,1.38636,0.0531277,0.420848
window 34,-0.0345197,1.37697,0.0256127,0.481273
window 35,0.0394688,1.37446,0.0139887,0.45004
window 36,-0.143687,1.38389,0.0126872,0.493433
window 37,-0.0339037,1.38031,0.0180275,0.486401
window 38,-0.0341349,1.38498,0.0134775,0.502567
window 39,-0.108472,1.3783,0.0056633,0.458262
window 40,0.00372724,1.39669,0.0287589,0.451126
window 41,-0.0190151,1.39893,0.0336554,0.445458
window 42,0.155237,1.40267,0.0281788,0.478362
window 43,-0.0545464,1.40246,0.0160421,0.430754
window 44,-0.04298,1.40243,0.0211506,0.356602
window 45,0.0855394,1.43114,0.005,0.363814
window 46,0.101263,1.41508,0.0444984,0.404223
window 47,-0.0599356,1.42629,0.0448002,0.321985
window 48,0.0863013,1.42695,0.00629076,0.409782
window 49,-0.0181186,1.41734,0.0292307,0.445995
window 50,0.0838373,1.41368,0.0351529,0.393229
window 51,-0.00350229,1.40977,0.00704631,0.451597
window 52,0.043857,1.42467,0.0388692,0.473863
window 53,0.0229149,1.4116,0.0426345,0.481601
window 54,-0.00138341,1.39098,0.0227825,0.497369
window 55,0.00755368,1.37631,0.0362661,0.471161
window 56,-0.0883079,1.37434,0.0186489,0.47726
window 57,-0.0534761,1.36357,0.048531,0.512652
window 58,0.117473,1.34393,0.0424393,0.441837
window 59,0.0521297,1.34507,0.0622538,0.442287
window 60,-0.0281764,1.34538,0.058641,0.449242
window 61,0.1014,1.32465,0.0140361,0.377453
window 62,0.0204722,1.32455,0.00668685,0.427501
