Window,Return,Omega,Min weight,Max weight
window 0,-0.0217998,664.516,0.00864309,0.13675
window 1,0.0286343,662.515,0.00864309,0.13675
window 2,0.0307255,661.9,0.00864309,0.13675
window 3,0.0317698,665.029,0.00864309,0.13675
window 4,-0.0301656,588.04,0.00943997,0.151033
window 5,0.0201627,662.84,0.005,0.142701
window 6,0.0237662,662.835,0.005,0.142701
window 7,0.00278999,613.82,0.00673909,0.1724
window 8,0.0779018,614.938,0.00673909,0.1724
window 9,0.00846563,619.162,0.00716863,0.173507
window 10,0.00469961,617.183,0.00716863,0.173507
window 11,0.067145,616.227,0.00716863,0.173507
window 12,0.00623984,619.941,0.00716863,0.173507
window 13,0.0330246,617.102,0.00716863,0.173507
window 14,0.0300336,616.494,0.00716863,0.173507
window 15,0.0243517,619.097,0.00716863,0.173507
window 16,0.0165309,618.751,0.00716863,0.173507
window 17,-0.00756558,619.98,0.00716863,0.173507
window 18,-0.0419755,617.729,0.00716863,0.173507
window 19,0.0106746,607.449,0.005,0.150287
window 20,-0.0183146,607.67,0.005,0.150287
window 21,0.0557641,606.399,0.005,0.151517
window 22,-0.0143169,609.38,0.005,0.151517
window 23,0.0279226,603.085,0.005,0.151517
window 24,0.042441,604.39,0.005,0.151517
window 25,-0.00525601,606.934,0.005,0.150287
window 26,0.0166388,606.944,0.005,0.150287
window 27,0.0451464,606.957,0.005,0.151517
window 28,-0.0113638,609.071,0.005,0.151517
window 29,0.0582651,608.991,0.005,0.150287
window 30,0.0180136,603.465,0.005,0.149806
window 31,-0.00994379,607.304,0.005,0.145584
window 32,0.023187,606.065,0.005,0.145584
window 33,-0.0350647,606.699,0.005,0.145584
window 34,0.00255969,600.196,0.005,0.137931
window 35,-0.0117072,599.13,0.005,0.137931
window 36,0.0431578,599.211,0.005,0.137283
window 37,0.0228796,600.087,0.005,0.137283
window 38,0.0389669,598.707,0.005,0.137283
window 39,-0.0181801,602.091,0.005,0.137283
window 40,-0.014891,600.033,0.005,0.137283
window 41,0.0138632,598.251,0.005,0.137283
window 42,0.0472188,515.311,0.005,0.135106
window 43,-0.0344843,515.274,0.005,0.135106
window 44,0.00777839,518.319,0.005,0.146041
window 45,0.0273402,517.869,0.005,0.146041
window 46,0.00931703,532.306,0.005,0.147209
window 47,0.00400006,531.488,0.005,0.147209
window 48,-0.0137282,532.369,0.005,0.147209
window 49,0.0421151,532.495,0.005,0.147208
window 50,0.0198905,680.421,0.010573,0.171783
window 51,0.0167206,681.349,0.010573,0.171783
window 52,-0.0028696,682.593,0.010573,0.171783
window 53,0.0212774,683.14,0.010573,0.171783
window 54,-0.024742,682.737,0.00961437,0.17275
window 55,0.0526958,679.498,0.00961437,0.17275
window 56,-0.0104874,684.165,0.00961437,0.17275
window 57,0.0589935,680.01,0.005,0.172697
window 58,0.0381845,682.752,0.005,0.172697
window 59,0.00976544,685.635,0.005,0.172697
window 60,0.00760581,684.964,0.005,0.172697
window 61,0.000251887,684.611,0.005,0.172697
window 62,0.00440193,683.68,0.005,0.172697
window 63,-0.0119341,683.924,0.005,0.172697
window 64,0.00596262,680.886,0.005,0.172697
window 65,-0.0200314,679.671,0.005,0.172697
