Window,Return,Omega,Min weight,Max weight
window 0,0.0520052,736.83,0.005,0.148372
window 1,0.0444295,741.57,0.005,0.148353
window 2,0.0513358,801.199,0.00568753,0.12674
window 3,0.0267957,800.518,0.00568753,0.12674
window 4,-0.0234836,802.596,0.00568753,0.12674
window 5,0.0556463,797.284,0.00568753,0.12674
window 6,0.0120815,802.33,0.00568753,0.12674
window 7,0.0203949,803.955,0.00568753,0.12674
window 8,0.0192427,802.523,0.00568753,0.12674
window 9,0.0225664,560.687,0.005,0.150051
window 10,0.00119292,555.7,0.005,0.15004
window 11,0.0167222,1129.96,0.005,0.281901
window 12,0.0183602,1709.6,0.005,0.182052
window 13,-0.0786926,2147.65,0.005,0.176308
window 14,-0.10713,710.619,0.005,0.262998
window 15,0.130037,817.976,0.00836443,0.147496
window 16,0.0835427,826.934,0.00836443,0.147496
window 17,0.0178179,831.354,0.00836443,0.147496
window 18,0.0785786,833.903,0.00836443,0.147496
window 19,0.0310197,839.616,0.00836443,0.147496
window 20,-0.00716208,840.941,0.00836443,0.147496
window 21,-0.0244702,838.895,0.00836443,0.147496
window 22,0.0699508,836.864,0.00836443,0.147496
window 23,0.0154904,840.946,0.00836443,0.147496
window 24,-0.0261666,841.748,0.0083646,0.147496
window 25,-0.0399597,840,0.0083646,0.147496
window 26,0.0579658,848.454,0.00514044,0.169589
window 27,0.0283895,846.136,0.00514044,0.169589
window 28,-0.00973707,847.409,0.00514044,0.169589
window 29,0.025821,845.76,0.00514044,0.169589
window 30,0.0371002,847.665,0.00514044,0.169589
window 31,-0.000439856,851.173,0.00514044,0.169589
window 32,-0.0167843,852.631,0.00514044,0.169589
window 33,0.0444703,851.811,0.00514044,0.169589
window 34,0.00354639,851.173,0.00514044,0.169589
window 35,0.0973176,849.742,0.00514044,0.169589
window 36,-0.0959057,858.099,0.00514044,0.169589
window 37,-0.02094,1448.41,0.0107438,0.183826
window 38,0.0799819,1439.85,0.0107438,0.183826
window 39,-0.00814639,1452.26,0.0107438,0.183826
window 40,0.0152676,1140.06,0.00574342,0.14968
window 41,-0.0333891,1914.53,0.005,0.151115
window 42,0.0512579,1503.04,0.005,0.169359
window 43,-0.0220943,1596.2,0.00676617,0.155712
window 44,-0.0805045,1590.39,0.005,0.165039
window 45,0.0935989,1730.34,0.00802927,0.213372
window 46,0.0493518,1740.1,0.00802927,0.213372
window 47,-0.0440597,1748.35,0.00802927,0.213372
window 48,-0.00210575,2337.22,0.005,0.189556
window 49,-0.0096807,2342.81,0.005,0.189556
window 50,0.0491726,2372.76,0.005,0.183025
window 51,0.0125305,2376.23,0.005,0.183025
window 52,-0.0130706,2369.97,0.005,0.183025
window 53,0.00743844,2365.43,0.005,0.183025
window 54,0.00292072,2364.65,0.005,0.183025
window 55,-0.0446085,2360.07,0.005,0.183025
window 56,-0.0615617,2596.2,0.00558014,0.136322
window 57,-0.0203728,1489.19,0.005,0.226677
window 58,0.0307058,1483.14,0.005,0.226677
window 59,0.0637659,1488.95,0.005,0.226677
window 60,0.0203005,1497.12,0.005,0.226677
window 61,0.040023,1496.55,0.005,0.226677
window 62,0.0434761,1502.27,0.005,0.226677
