Window,Return,Omega,Min weight,Max weight
window 0,0.105866,2.38794,0.00320628,0.343331
window 1,0.0395836,2.41993,0.00819193,0.346735
window 2,0.0340803,2.30354,0.00764829,0.372955
window 3,0.0293613,2.41331,0.00599941,0.35334
window 4,-0.0498122,2.41509,0.00560255,0.352873
window 5,0.0482627,2.31669,0.00703983,0.446635
window 6,0.00921549,2.33104,0.00317653,0.468575
window 7,-0.0161022,2.33346,0.00565223,0.39927
window 8,-0.0161974,2.4239,0.0855174,0.257324
window 9,0.0463262,2.42162,0.0732849,0.314332
window 10,0.0575962,2.34442,0.0026726,0.252241
window 11,0.0381748,2.34346,0.00839965,0.247672
window 12,0.00999278,2.28455,0.00544302,0.351124
window 13,-0.0629983,2.37505,0.0345108,0.240981
window 14,-0.0781778,2.31814,0.000946103,0.276755
window 15,0.0936143,2.32801,2.59251e-05,0.254102
window 16,0.0586256,2.44508,0.010364,0.213149
window 17,-0.00747281,2.46439,0.00137657,0.193048
window 18,0.0786179,2.39067,0.00120303,0.244744
window 19,0.217225,2.44294,0.018589,0.231759
window 20,-0.0473305,2.46706,0.0296466,0.248631
window 21,-0.0638816,2.45617,0.000109412,0.195468
window 22,0.161697,2.41293,0.0133468,0.1842
window 23,0.109803,2.4604,0.0208674,0.212725
window 24,0.00530845,2.48314,0.0238144,0.204063
window 25,-0.0244656,2.51131,0.00192157,0.234313
window 26,-0.00182616,2.50332,0.00323195,0.223025
window 27,0.0360086,2.4977,0.00295229,0.21667
window 28,-0.0389114,2.54291,0.000952066,0.206437
window 29,0.0478644,2.50692,0.0149984,0.202895
window 30,0.0349263,2.508,0.00397924,0.21532
window 31,0.015675,2.51221,0.00405713,0.230042
window 32,-0.0264356,2.52087,0.0399369,0.163176
window 33,0.153989,2.538,0.0382869,0.203028
window 34,0.00840122,2.57105,0.00532312,0.221106
window 35,0.054091,2.61063,0.0438394,0.226303
window 36,-0.0856562,2.60143,0.0313961,0.212833
window 37,-0.0442201,2.62099,0.00199392,0.222458
window 38,0.0822647,2.59058,0.0119431,0.223824
window 39,-0.128773,2.58772,0.000593117,0.224764
window 40,-0.0313457,2.42891,0.00972989,0.231804
window 41,-0.0997451,2.40308,0.000162893,0.228628
window 42,0.153068,2.38383,0.00488761,0.227489
window 43,-0.0569884,2.41896,0.00560827,0.21363
window 44,-0.0843987,2.38904,0.0130478,0.204916
window 45,0.0563596,2.37305,0.00752934,0.203567
window 46,0.0189449,2.39938,0.001436,0.195981
window 47,-0.091334,2.37926,0.00866708,0.190034
window 48,0.0655425,2.3922,0.0308724,0.176247
window 49,0.00746802,2.4465,0.0413148,0.298268
window 50,0.0680539,2.45698,0.0404662,0.290674
window 51,0.00294436,2.41002,0.000118923,0.176425
window 52,0.0861399,2.44997,0.00670545,0.247551
window 53,0.100823,2.48206,0.0157477,0.232478
window 54,0.00959902,2.5114,0.0137531,0.200098
window 55,0.018802,2.52901,0.00978554,0.220349
window 56,-0.0637852,2.57875,0.00884938,0.23207
window 57,-0.0179925,2.57609,0.0397052,0.233517
window 58,0.101392,2.61598,0.0531908,0.230649
window 59,0.0573963,2.63009,0.0534321,0.245407
window 60,0.0140954,2.64001,0.0507089,0.266763
window 61,0.0762033,2.64864,0.00193253,0.293228
window 62,-0.0051217,2.65436,0.0201339,0.2824
