Window,Return,Omega,Min weight,Max weight
window 0,-0.0138636,4.09629,0.00259968,0.222795
window 1,0.0106282,4.13662,0.00219768,0.178036
window 2,0.0336528,4.13149,0.0232923,0.178098
window 3,-0.032488,4.05218,0.012852,0.184005
window 4,-0.0901365,3.64254,0.00161554,0.179477
window 5,-0.0249924,3.58573,8.24E-06,0.15795
window 6,0.0499544,3.58397,0.00332221,0.171951
window 7,-0.0296397,3.58161,0.000128914,0.131785
window 8,0.0977861,3.62145,0.0113839,0.118594
window 9,0.044555,3.58452,0.0115733,0.157177
window 10,-0.00667815,3.57034,0.000838528,0.167222
window 11,0.0545085,3.62559,0.00614346,0.170979
window 12,0.0162799,3.63241,0.00534473,0.170522
window 13,0.0352165,3.5948,0.00314555,0.182588
window 14,0.00376925,3.59457,0.00245931,0.17172
window 15,0.0397213,3.5906,0.00387836,0.171805
window 16,-0.014111,3.61015,0.0108948,0.177265
window 17,-0.0226041,3.60505,0.000484563,0.132738
window 18,-0.00918583,3.57458,0.010111,0.141416
window 19,-0.0177075,3.58021,0.00540198,0.166526
window 20,-0.0169946,3.57809,0.00604574,0.136253
window 21,0.0561588,3.67765,0.00493525,0.144364
window 22,0.0112541,3.6799,0.00266933,0.125561
window 23,0.00722882,3.6914,0.0126745,0.126041
window 24,0.0221841,3.68766,0.000653166,0.132523
window 25,0.0359994,3.61408,0.00215513,0.136799
window 26,0.0353133,3.6819,0.00264768,0.139243
window 27,0.015156,3.66186,0.0138306,0.137593
window 28,-0.0331644,3.66471,0.00949636,0.15997
window 29,0.0427802,3.67945,0.00755334,0.134012
window 30,0.0374213,3.65544,0.00470951,0.155037
window 31,0.0155089,3.63585,0.00188827,0.139053
window 32,0.0248821,3.6882,0.0188034,0.149481
window 33,-0.0390117,3.70581,0.00247485,0.150491
window 34,0.017106,3.80095,0.000784885,0.128106
window 35,-0.0136103,3.80984,0.00348462,0.127577
window 36,0.0627403,3.80023,0.000718425,0.143217
window 37,0.0161773,3.84666,0.00197231,0.162496
window 38,0.0323185,3.85881,0.00121191,0.164795
window 39,0.0163881,3.85669,0.00377707,0.170637
window 40,0.0140813,3.86683,0.021082,0.12803
window 41,-0.0174055,3.90436,0.0233335,0.143165
window 42,0.0617042,3.94024,0.0232684,0.135017
window 43,-0.0301251,4.09427,0.0235993,0.155582
window 44,0.0372587,4.16697,0.0159103,0.190803
window 45,0.0723418,4.13841,0.00725649,0.186923
window 46,0.0323565,4.16365,0.00140087,0.19666
window 47,0.00776964,4.18132,0.00273664,0.197408
window 48,-0.0464276,4.21362,0.0008676,0.200732
window 49,0.038761,4.17605,0.00103548,0.188397
window 50,-0.0116136,4.19803,0.000520469,0.195777
window 51,0.0291493,4.18452,0.0025718,0.196368
window 52,0.0218797,4.23855,0.0191214,0.208248
window 53,0.00953505,4.03981,0.00457926,0.155989
window 54,-0.00437566,4.01588,0.00457467,0.155967
window 55,0.0639824,4.08209,0.000199889,0.150398
window 56,0.0248069,4.24353,0.00404107,0.197377
window 57,0.0295973,4.28768,0.018188,0.201137
window 58,0.0369253,4.23193,0.0173549,0.200627
window 59,-0.0198456,4.26126,0.000242461,0.210468
window 60,0.0292354,4.21669,0.00394114,0.198992
window 61,0.0328812,4.2026,0.00059854,0.212474
window 62,-0.0376352,4.17295,9.51E-05,0.211684
window 63,-0.00184417,4.08927,0.012026,0.19164
window 64,0.0198245,4.11438,0.00938305,0.199197
window 65,-0.00376802,4.1023,0.00906561,0.199622
