Window,Return,Omega,Min weight,Max weight
window 0,-0.0160188,65.577,0.00923664,0.329404
window 1,0.00910513,65.4449,0.00923664,0.329404
window 2,0.0387324,65.3886,0.00923664,0.329404
window 3,0.000610899,65.557,0.00923664,0.329404
window 4,-0.0859054,42.9145,0.00113158,0.249623
window 5,-0.0460788,35.612,0.00602196,0.261359
window 6,0.0627257,35.1525,0.0100023,0.219177
window 7,-0.0250814,40.0107,0.00382192,0.239563
window 8,0.07021,40.0697,0.00399962,0.232383
window 9,0.0425849,33.4312,0.00424199,0.301138
window 10,0.00288752,33.3234,0.00940777,0.317445
window 11,0.0447229,35.2544,0.00250536,0.22296
window 12,0.0270258,35.3065,0.00250536,0.22296
window 13,0.0158665,35.1139,0.00250536,0.22296
window 14,0.0049911,34.8963,0.0085306,0.214206
window 15,0.0415805,34.9035,0.0085306,0.214206
window 16,-0.00552916,35.0006,0.00250536,0.22296
window 17,-0.0278702,35.0839,0.00250536,0.22296
window 18,-0.0162911,34.7535,0.00250536,0.22296
window 19,-0.0182373,37.0906,0.00493386,0.239562
window 20,-0.0298292,36.9809,0.00493386,0.239562
window 21,0.0680249,36.8273,0.00493386,0.239562
window 22,0.0171747,37.1416,0.00493386,0.239562
window 23,0.0375081,36.8311,0.00493386,0.239562
window 24,0.0255471,36.9849,0.00493386,0.239562
window 25,0.02678,37.1154,0.00493386,0.239562
window 26,0.019969,37.293,0.00493386,0.239562
window 27,0.00307667,37.2964,0.00493386,0.239562
window 28,-0.0330549,41.5538,0.00682987,0.280738
window 29,0.0497165,41.5389,0.00682987,0.280738
window 30,0.0435576,41.6088,0.00682987,0.280738
window 31,0.016865,41.7317,0.00696496,0.280862
window 32,0.0340422,41.81,0.00675614,0.280721
window 33,-0.0492934,41.876,0.00675614,0.280721
window 34,-0.00242182,39.766,0.00617541,0.309762
window 35,-0.0187702,39.7338,0.00617541,0.309762
window 36,0.0560264,39.8105,0.000461357,0.307126
window 37,0.01133,40.1159,0.000461357,0.307126
window 38,0.0358337,40.1566,0.000461357,0.307126
window 39,0.0110346,37.4701,0.00259614,0.315879
window 40,0.00535418,40.3916,0.000461357,0.307126
window 41,-0.0124559,40.4364,0.000461357,0.307126
window 42,0.0540641,40.6755,0.00134858,0.293048
window 43,-0.0365008,38.2822,0.00121406,0.293216
window 44,0.0135371,37.919,0.00343512,0.293324
window 45,0.0613596,37.7332,0.00343512,0.293324
window 46,0.0332924,39.9011,0.0280472,0.191816
window 47,0.019348,40.052,0.0280472,0.191816
window 48,-0.0566245,38.0185,0.00435774,0.280563
window 49,0.0326842,36.107,0.000302667,0.236973
window 50,0.00688537,37.1937,0.00060815,0.187526
window 51,0.0215643,37.1798,0.00060815,0.187526
window 52,0.00437864,37.2889,0.00060815,0.187526
window 53,0.00297155,37.3826,0.00060815,0.187526
window 54,0.00292195,37.1762,0.00060815,0.187526
window 55,0.0535262,37.0268,0.00060815,0.187526
window 56,-0.000597199,37.2334,0.00060815,0.187526
window 57,0.0356549,42.7832,0.00129695,0.238321
window 58,0.0315892,42.9486,0.00129695,0.238321
window 59,-0.0102935,43.1355,0.00129695,0.238321
window 60,-0.0135712,42.8872,0.00140494,0.238271
window 61,0.0229675,42.7028,0.00150116,0.236533
window 62,-0.0242646,42.6878,0.00150116,0.236533
window 63,-0.0130702,42.5271,0.00150116,0.236533
window 64,-0.0111606,42.3604,0.000561117,0.236432
window 65,-0.0195045,42.1641,0.00150116,0.236533
